pmid,citing_title,protocol_title,hit
35711922,Detection and Validation of Circular DNA Fragments Using Nanopore Sequencing,Purification and Sequencing of Large Circular DNA from Human Cells,True
30052755,MinIONQC: fast and simple quality control for MinION sequencing data,DNA size selection (>1kb) and clean up using an optimized SPRI beads mixture,False
33114549,Determination and Dissection of DNA-Binding Specificity for the Thermus thermophilus HB8 Transcriptional Regulator TTHB099,Design and PCR Synthesis of Infrared Fluorophore-Labeled Modular DNA Probes; Restriction Endonuclease Protection Assays using Infrared-Fluorescent Probes,False
33970926,Soft soled footwear has limited impact on toddler gait,"Understanding the impact of sole soled footwear on toddler spatial, temporal and kinetic gait parameters.",True
32333689,"Strontium, oxygen, and carbon isotope variation in modern human dental enamel",Chromatographic separation of strontium isotopes in human dental enamel for Thermal Ionisation Mass Spectrometry (TIMS) analysis,True
39251619,Enhanced visualization of nuclear staining and cell cycle analysis for the human commensal Malassezia,Yeast DAPI Staining,True
28346450,Structural modeling of protein-RNA complexes using crosslinking of segmentally isotope labeled RNA and MS/MS,Mapping protein-RNA interactions with single residue resolution by CLIR-MS/MS,False
32854500,FlopR: An Open Source Software Package for Calibration and Normalization of Plate Reader and Flow Cytometry Data,Standard iGEM Cell Measurement Protocol; Calibration Protocol - Plate Reader Fluorescence Calibration,False
34740201,Computational Modelling of Nerve Stimulation and Recording with Peripheral Visceral Neural Interfaces,Intracardiac perfusion with fixative for anatomical studies [keast-001-stage02]; Nerve tissue processing for transmission electron microscopy (TEM); Electrophysiological recording of electrically-evoked compound action potentials,False
31855083,Fast-Seq: A Simple Method for Rapid and Inexpensive Validation of Packaged Single-Stranded Adeno-Associated Viral Genomes in Academic Settings,"Fast-Seq, a universal method for rapid and inexpensive genomic validation of rAAV vectors in preclinical settings",False
34462260,β-Cell Knockout of SENP1 Reduces Responses to Incretins and Worsens Oral Glucose Tolerance in High-Fat Diet–Fed Mice,Static Glucose-stimulated Insulin Secretion (GSIS) Protocol: Mouse Islets; IP Glucose Tolerance Test in Mouse,True
42524695,A latent factor framework to organize regulatory and metabolic programs inferred from scRNA-seq,Inference of Gene Regulatory Network from Single-Cell Transcriptomic Data Using pySCENIC,False
36360315,Inferring bona fide Differentially Expressed Genes and Their Variants Associated with Vitamin K Deficiency Using a Systems Genetics Approach,A bioinformatics pipeline for processing and analysis of whole transcriptome sequence data,False
38902223,Plasma cell differentiation is regulated by the expression of histone variant H3.3,Detailed protocol ─ Chromatin Integration labeling,False
33654405,Multidisciplinary Provision of Food and Nutritional Care to Hospitalized Adult In-Patients: A Scoping Review,Multidisciplinary provision of food and nutritional care to hospitalised adult in-patients: A scoping review protocol,True
32130221,The alliance formation puzzle in contests with capacity-constraints: A test using American football reception-coverage contest data,The Alliance Formation Puzzle in Contests with Capacity-Constraints: A Test using American Football Reception-Coverage Contest Data,True
34457243,Whole-genome sequencing of SARS-CoV-2 in Uganda: implementation of the low-cost ARTIC protocol in resource-limited settings,SARS-CoV-2 Sequencing on Illumina MiSeq Using ARTIC Protocol: Part 1 - Tiling PCR,False
34484143,Microbiological Surveillance of Biogas Plants: Targeting Acetogenic Community,Genomic DNA extraction from anaerobic digester samples ,False
39777783,"Insights Into Phylogeny, Diversity and Functional Potential of Poseidoniales Viruses",Resuspension and concentration of iron chloride precipitated viruses from seawater for HMW DNA extraction; DNA Extraction of Cesium Chloride-Purified Viruses using Wizard Prep Columns; DNase I Treatment,False
36149401,A feed-forward pathway drives LRRK2 kinase membrane recruitment and activation,Microscale Thermophoresis determination of Rab29 binding to LRRK2 Armadillo Domain,False
37425958,Loss of Tumour Suppressor TMEM127 Drives RET-mediated Transformation Through Disrupted Membrane Dynamics,Evaluating Cell Membrane Localization and Intracellular Transport of Proteins by Biotinylation,False
37337093,Effects of bile duct ligation on the inhibitory control of supraoptic vasopressin neurons,A suitable microsurgical method for obstructive cholestasis in the rat,True
32169215,Initiation of Parental Genome Reprogramming in Fertilized Oocyte by Splicing Kinase SRPK1-Catalyzed Protamine Phosphorylation,siRNA-mediated depletion of stable proteins in mouse oocytes,True
34462260,β-Cell Knockout of SENP1 Reduces Responses to Incretins and Worsens Oral Glucose Tolerance in High-Fat Diet–Fed Mice,IP Glucose Tolerance Test in Mouse,False
42539119,The C. elegans gustatory receptor homolog LITE-1 is a chemoreceptor required for diacetyl avoidance,Bleach synchronisation of C. elegans,False
30862831,Two-tailed RT-qPCR panel for quality control of circulating microRNA studies,Serum Collection Procedure (Small Scale) for the analysis of extracellular RNA,False
38996623,Trends in co-fractionation mass spectrometry: A new gold-standard in global protein interaction network discovery.,Discovering Protein–Protein Interactions using Co-Fractionation-Mass Spectrometry with Label-Free Quantitation,True
38989890,Impact of tRNA-induced proline-to-serine mistranslation on the transcriptome of Drosophila melanogaster,RNA Extraction from Drosophila Tissues using TRIzol Reagent,False
38863673,Prediction of tumor-specific splicing from somatic mutations as a source of neoantigen candidates,Alternative Splicing Analysis,True
34616066,A transcriptomic and epigenomic cell atlas of the mouse primary motor cortex,Methyl-C sequencing of single cell nuclei: snmC-seq2,True
36824335,Bicolor angelfish (Centropyge bicolor) provides the first chromosome-level genome of the Pomacanthidae family,Protocols for &#34;Bicolor Angelfish (Centropyge bicolor) genome provided first chromosome-level reference of Pomacanthidae family and clues for bi-color body formation&#34;,False
26320937,Meeting report: discussions and preliminary findings on extracellular RNA measurement methods from laboratories in the NIH Extracellular RNA Communication Consortium,Isolation of extracellular vesicle RNA from serum,True
28650476,CrY2H-seq: a massively-multiplexed assay for deep coverage interactome mapping,CrY2H-seq interactome screening,True
36045295,A microbial supply chain for production of the anti-cancer drug vinblastine,Targeted proteomic LC-MS/MS analysis,False
36555794,Detection of the Omicron SARS-CoV-2 Lineage and Its BA.1 Variant with Multiplex RT-qPCR,Design of Primers and Probes for Quantitative Real-Time PCR Methods; One-step RT-PCR Ins214EPE assay for Omicron (B.1.1.529) variant detection ,False
38819130,SARS-CoV-2 wastewater variant surveillance: pandemic response leveraging FDA’s GenomeTrakr network,"Virus Concentration from Wastewater Using PEG Precipitation and Ultracentrifugation; Collection  from Wastewater Treatment Plant, Transportation, and Storage of Raw Wastewater ; RNA Extraction from Wastewater Concentrates Using RNeasy and Zymo Kits",False
40880479,Cytoskeletal control in adult microglia is essential to restore neurodevelopmental synaptic and cognitive deficits,The Y-Maze for Assessment of Spatial Working and Reference Memory in Mice,False
40875780,A capture enzyme-linked immunosorbent assay for detection of mosquito salivary protein-specific immunoglobulin E,Enzyme-Linked Immunosorbent Assay (ELISA),True
30804551,One-step generation of modular CAR-T with AAV-Cpf1,Rapid modular CAR-T generation with CRISPR/Cpf1 and AAV systems,False
36824594,A draft genome assembly of the eastern banjo frog Limnodynastes dumerilii dumerilii (Anura: Limnodynastidae),DNA extraction protocol for the eastern banjo frog using the Gentra Puregene Tissue Kit; Construction and sequencing of DNA libraries on Hiseq 2000 platform for the eastern banjo frog,True
29901420,A Bioassay for Optimization of Macrophage-Conditioned Medium as a Culture Supplement to Promote Hybridoma Cell Survival and Growth,Hybridoma Technology,False
34658337,Pathogenic LRRK2 control of primary cilia and Hedgehog signaling in neurons and astrocytes of mouse brain,Analysis of Primary Cilia in Rodent Brain By Immunofluorescence Microscopy,True
41559478,HCN channels reveal conserved and divergent physiology in supragranular pyramidal neurons in primate species,Patch-Seq Recording and Extraction Detailed Protocol,False
38273288,Quantifying the proportion of different cell types in the human cortex using DNA methylation profiles,DNA Extraction from FANS sorted nuclei,False
34447628,Effect of storage conditions on SARS-CoV-2 RNA quantification in wastewater solids,High Throughput RNA Extraction and PCR Inhibitor Removal of Settled Solids for Wastewater Surveillance of SARS-CoV-2 RNA,True
42367214,Using Combined Fluorescent In Situ Hybridization With Immunohistochemistry to Co-localize mRNA in Diverse Neuronal Cell Types,An Introduction to the Performance of Immunohistochemistry,False
36217031,Systematic discovery of recombinases for efficient integration of large DNA sequences into the human genome,Tn5 Library Prep for Deep Sequencing Loci of CRISPR/Cas9 Edited Cells. Single gene specific primer amplification (UDiTaS protocol with alterations),False
30397333,Comparative genomics of the major parasitic worms,"Contamination screening of parasitic worm genome assemblies; Identification of lineage-specific gene family expansions in a database of gene families; Genomic and transcriptomic data production for helminths; A MAKER pipeline for prediction of protein-coding genes in parasitic worm genomes; Functional annotation of parasitic worm genomes, by assigning protein names and GO terms; Creation of a comprehensive repeat library for a newly sequenced parasitic worm genome",True
29269866,DNA methylation signatures of illicit drug injection and hepatitis C are associated with HIV frailty,DNA methylation signatures analysis with Illumina Infinitum MethylationEPIC and Infinium Human Methylation 450K BeadChip,True
21702933,Digging deeper into lymphatic vessel formation in vitro and in vivo,The lymphatic ring assay: a 3D-culture model of lymphangiogenesis,False
36951106,Design principles and functional basis of enantioselectivity of alanyl-tRNA synthetase and a chiral proofreader during protein biosynthesis,Preparation of materials for flexizyme reactions and genetic code reprogramming,False
42391002,Single-bacterium RNA-seq protocol to uncover heterogeneous expression of coding and noncoding genes in Bacteroides thetaiotaomicron,A MATQ-seq-Based Protocol for Single-Cell RNA-seq in Bacteria,False
35243422,An omic and multidimensional spatial atlas from serial biopsies of an evolving metastatic breast cancer,HTAN Multiplex IHC Image Cytometry V0.1,False
39359233,In vitro 3D skin culture and its sustainability in toxicology: a narrative review,Introduction to Cell Culture,False
30462808,Evaluation of redox profiles in exogenous subclinical hyperthyroidism at two different levels of TSH suppression,Thiobarbituric acid reactive substances (TBARS) Assay,False
33350435,Optimization of the isolation procedure and culturing conditions for hepatic stellate cells obtained from mouse,Isolation and Culture of Primary Murine Hepatic Stellate Cells,True
30271992,Biodiversity estimates and ecological interpretations of meiofaunal communities are biased by the taxonomic approach,Isolation of marine meiofauna from sandy sediments: from decanting to DNA extraction.,True
21572423,Basement Membrane Sliding and Targeted Adhesion Remodels Tissue Boundaries During Uterine-vulval Attachment in C. elegans,Optically Highlighting Basement Membrane Components in C. elegans,True
39119918,"Efficacy, biodistribution and safety comparison of chemically modified antisense oligonucleotides in the retina",Delivery of Antisense Oligonucleotides to the Mouse Retina,True
33390899,Recording of Electrically Evoked Neural Activity and Bladder Pressure Responses in Awake Rats Chronically Implanted With a Pelvic Nerve Array,Intracardiac perfusion with fixative for anatomical studies [keast-001-stage02]; Cystometry in awake rats; Immunohistochemical labelling of spinal cord neurons involved in bladder activity; Electrophysiological recording of electrically-evoked compound action potentials; Implantation of a pelvic nerve array in rats,True
39510801,Mass spectrometry–based proteomic exploration of diverse murine macrophage cellular models,Immortalization of Murine Bone Marrow-Derived Macrophages; Growing Murine Bone Marrow-Derived Macrophages,True
35438621,High molecular weight DNA extraction methods lead to high quality filamentous ascomycete fungal genome assemblies using Oxford Nanopore sequencing,Large Volume Fungal Genomic DNA Extraction Protocol for PacBio; Fungal CTAB DNA Extraction ; Protocol of DNA extraction for Nanopore long-reads genome sequencing,True
33300015,"Sewage, Salt, Silica and SARS-CoV-2 (4S): An economical kit-free method for direct capture of SARS-CoV-2 RNA from wastewater.","Direct wastewater RNA extraction via the &#34;Milk of Silica (MoS)&#34; method - A companion method to &#34;Sewage, Salt, Silica and SARS-CoV-2 (4S)&#34;; V.4 - Direct wastewater RNA capture and purification via the &#34;Sewage, Salt, Silica and SARS-CoV-2 (4S)&#34; method",True
