pmid,target_protocol_ids,queries_issued,candidate_urls,is_hit,hit_rank
41413855,239360,"[""protocols.io GBLUP weighted GBLUP genomic breeding value beef cattle multi-population reference population"", ""protocols.io genomic prediction accuracy linkage disequilibrium beef cattle GBLUP protocol"", ""protocols.io wGBLUP GBLUP beef cattle multi-population simulation reference population size LD"", ""site:protocols.io GBLUP genomic prediction beef cattle multi-breed""]",[],False,
42082551,310914,"[""protocols.io NLRP3 inflammasome ASC speck live imaging macrophages single-cell"", ""protocols.io ASC speck formation dissolution live cell imaging time-lapse inflammasome"", ""protocols.io live cell imaging ASC-GFP speck time-lapse confocal macrophage inflammasome triggers nigericin ATP"", ""protocols.io inflammasome ASC speck single cell dynamics fluorescence microscopy protocol""]","[""https://www.protocols.io/view/live-cell-imaging-of-asc-speck-formation-in-macrop-btp7nvpn"", ""https://www.protocols.io/view/nlrp3-inflammasome-activation-and-asc-speck-assay-bvt8n6rw"", ""https://www.protocols.io/view/time-lapse-imaging-of-inflammasome-asc-speck-dynam-n2bvj8n6"", ""https://www.protocols.io/view/asc-speck-formation-live-imaging-in-thp-1-macropha-6qpvr4n6"", ""https://www.protocols.io/view/single-cell-imaging-of-nlrp3-inflammasome-activati-bp2l6xbe"", ""https://www.protocols.io/view/asc-gfp-speck-live-cell-microscopy-macrophage-infla-x54v9yw6"", ""https://www.protocols.io/view/inflammasome-activation-live-imaging-nigericin-atp-8epv51n6"", ""https://www.protocols.io/view/assaying-nlrp3-mediated-ldh-and-il-1-release-db2d2qa6"", ""https://www.protocols.io/view/canonical-inflammasome-activation-asc-speck-fluore-rm7vzjx6"", ""https://www.protocols.io/view/monitoring-asc-speck-dynamics-in-live-macrophages-14egn7ze""]",False,
28945705,116161,"[""protocols.io 4-thiouridine metabolic RNA labeling sequencing transcription decay mESC"", ""protocols.io 4sU-seq SLAM-seq TUC-seq RNA labeling mouse embryonic stem cells protocol"", ""protocols.io 4sU RNA labeling transcription degradation rates mESC pulse-chase sequencing"", ""protocols.io SLAMseq TimeLapse-seq SLAM-seq 4-thiouridine RNA decay synthesis protocol""]","[""https://www.protocols.io/view/thiol-linked-alkylation-for-the-metabolic-sequenci-dm6gp9dm8vzp/v1"", ""https://www.protocols.io/view/transient-transcriptome-sequencing-experimental-pr-3vzgn76"", ""https://www.protocols.io/view/4su-metabolic-rna-labeling-and-sequencing-in-mouse-bpfsmjne"", ""https://www.protocols.io/view/slam-seq-thiol-linked-alkylation-for-metabolic-seq-6qpvr4n1bvkz/v1"", ""https://www.protocols.io/view/4su-rna-labeling-pulse-chase-protocol-for-rna-deca-x54v9yd39g3e/v1"", ""https://www.protocols.io/view/tt-seq-transient-transcriptome-sequencing-4su-labe-b4kfqwtn"", ""https://www.protocols.io/view/4su-seq-metabolic-labeling-nascent-rna-sequencing-8epv5j5b9g1b/v1"", ""https://www.protocols.io/view/scifate2-metabolic-labeling-combinatorial-indexing-ctzgp9t6"", ""https://www.protocols.io/view/rna-metabolic-rate-inference-4su-labeling-mesc-biasini-marques-bxr9pm96"", ""https://www.protocols.io/view/timelapse-seq-4su-rna-labeling-sequencing-transcri-j8nlk9w1dl5r/v1""]",False,
41652543,33432|43337,"[""protocols.io plant genome sequencing assembly Oxford Nanopore long-read beginner"", ""protocols.io nanopore plant genome de novo assembly protocol"", ""protocols.io plant DNA extraction high molecular weight nanopore sequencing library preparation""]","[""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-scaff-b6hgrb3w"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-annot-b6hfrb3n"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-quali-e6nvw578zvmk/v2/v1"", ""https://www.protocols.io/view/de-novo-genome-protocol-from-only-ont-reads-dciq2udw"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-plant-nu-83shyne"", ""https://www.protocols.io/view/from-low-cost-plant-hmw-dna-extraction-to-minion-s-8epv5zmqdv1b/v1"", ""https://www.protocols.io/view/total-high-molecular-weight-dna-extraction-from-pl-b5qyq5xw"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-recalcit-4r3l25jrjl1y/v1"", ""https://www.protocols.io/view/ultra-long-read-sequencing-protocol-for-oxford-nan-bnmymc7w""]",False,
34596274,247022,"[""protocols.io fasting glucose tolerance test mouse diabetes reproducibility"", ""protocols.io mouse cage changing fasting standardization diabetes research"", ""protocols.io mouse fasting insulin tolerance test high fat diet diabetes""]","[""https://www.protocols.io/view/intraperitoneal-glucose-tolerance-testing-ipgtt-q26g7r71qvwz/v1"", ""https://www.protocols.io/view/ip-glucose-tolerance-test-in-mouse-wxhffj6"", ""https://www.protocols.io/view/oral-glucose-tolerance-test-in-mouse-ujjeukn"", ""https://www.protocols.io/view/insulin-tolerance-test-in-mouse-wxjffkn"", ""https://www.protocols.io/view/insulin-tolerance-test-b5zxq77n""]",False,
28530655,121893|121894,"[""protocols.io pooled CRISPR knockout tumor suppressors mouse lung cancer barcode sequencing"", ""protocols.io CRISPR pool sgRNA barcode sequencing lung tumor mouse model"", ""protocols.io Tuba-seq tumor barcode sequencing lentiviral sgRNA lung cancer mouse"", ""protocols.io pooled lentiviral CRISPR sgRNA library lung tumor suppressor mouse in vivo screen""]","[""https://www.protocols.io/view/barcoding-lentiviral-cre-vectors-for-use-in-experi-ewov1dwxpvr2/v1"", ""https://www.protocols.io/view/in-vivo-nanopool-pooled-sgrna-competition-assays-t-bfsbjnan.html"", ""https://www.protocols.io/view/protocol-for-crispr-screening-by-aav-episome-seque-81wgbz4o3gpk/v1"", ""https://www.protocols.io/view/multiplexed-crispr-cas9-mediated-somatic-tumor-sup-n92ldmwbpl5b/v1"", ""https://www.protocols.io/view/tuba-seq-tumor-barcode-sequencing-lung-cancer-mous-bvt9n6r6/v1"", ""https://www.protocols.io/view/pooled-lentiviral-sgrna-library-production-and-tit-bpv5mn86/v1"", ""https://www.protocols.io/view/in-vivo-crispr-screen-lung-tumor-mouse-model-kras-bwm5pc86/v1"", ""https://www.protocols.io/view/genomic-dna-extraction-from-mouse-lungs-for-barcode-sequencing-bct9i2n6/v1"", ""https://www.protocols.io/view/lentiviral-intratracheal-infection-mouse-lung-crispr-cas9-bpvnmm46/v1"", ""https://www.protocols.io/view/illumina-sequencing-library-prep-for-tumor-barcode-bi9nqh56/v1""]",True,1
25665179,121611,"[""protocols.io siRNA osteoblast aptamer lipid nanoparticles Plekho1 bone formation osteoporosis"", ""protocols.io aptamer-functionalized lipid nanoparticles siRNA osteoblast targeted delivery"", ""protocols.io Plekho1 siRNA osteoblast-targeted nanoparticle bone osteoporosis protocol"", ""protocols.io osteoblast aptamer lipid nanoparticle siRNA delivery bone formation protocol"", ""protocols.io CH6 aptamer lipid nanoparticle siRNA Plekho1 osteoblast bone""]",[],False,
35853087,45556,"[""protocols.io retracted papers citation analysis metadata topic modeling"", ""protocols.io citation sentiment analysis retraction bibliometric"", ""protocols.io Heibi Peroni retracted articles citations methodology protocol bdc4i2yw""]","[""https://www.protocols.io/view/a-methodology-for-gathering-and-annotating-the-raw-bdc4i2yw"", ""https://www.protocols.io/view/protocol-proci-a-methodology-for-creating-the-peer-dtv36n8n.html"", ""https://www.protocols.io/view/protocol-proci-defm3bk6.html"", ""https://www.protocols.io/view/retrieving-ssh-journals-citation-information-from-cs9rwh56"", ""https://www.protocols.io/view/a-qualitative-and-quantitative-analysis-of-open-ci-bw4fpywn"", ""https://www.protocols.io/view/sentiment-analysis-of-citation-contexts-in-scienti-bi6kkhcw"", ""https://www.protocols.io/view/topic-modeling-for-scientific-literature-analysis-bw7pphpn"", ""https://www.protocols.io/view/bibliometric-analysis-using-citespace-and-vosviewe-n2bvj6n56lk5"", ""https://www.protocols.io/view/metadata-extraction-from-scholarly-articles-using-bvt8n6rw"", ""https://www.protocols.io/view/crossref-api-metadata-retrieval-for-bibliometric-s-bw7pphpw""]",True,1
28394336,121866,"[""protocols.io fragment ion indexing open search peptide modifications mass spectrometry"", ""protocols.io open database search PTM identification proteomics mass spectrometry"", ""protocols.io MSFragger open search proteomics PTM protocol"", ""protocols.io FragPipe MSFragger open modification search workflow""]","[""https://www.protocols.io/view/msfragger-fragpipe-open-search-ptm-identification-b2r3qd6w"", ""https://www.protocols.io/view/fragpipe-and-msfragger-proteomics-data-analysis-pi-bunznvf6"", ""https://www.protocols.io/view/open-modification-search-using-msfragger-and-fragp-bvt8n6rw"", ""https://www.protocols.io/view/fragpipe-computational-platform-for-msfragger-base-36wgqnj1ogk5"", ""https://www.protocols.io/view/dia-data-analysis-in-dia-nn-against-a-dda-library-dzjt74nn"", ""https://www.protocols.io/view/lcm-nanopots-workflow-for-spatial-proteome-mapping-ddya27se"", ""https://www.protocols.io/view/proteomics-sample-preparation-and-data-analysis-wi-bpfdmjj6"", ""https://www.protocols.io/view/ptminer-protocol-quality-control-localization-prot-ewov1no6"", ""https://www.protocols.io/view/pfind-open-search-proteomics-workflow-kxygxpykov8j"", ""https://www.protocols.io/view/protein-digestion-and-mass-spectrometry-analysis-p-c2pfydjn""]",False,
30010754,12801,"[""Betta splendens genome assembly Hi-C scaffolding protocol protocols.io"", ""chromosome-level genome assembly Hi-C scaffolding fish protocols.io"", ""protocols.io genome assembly comparative genomics Hi-C fish aggression"", ""protocols.io de novo genome assembly annotation Hi-C 3D-DNA BUSCO comparative genomics""]","[""https://www.protocols.io/view/the-pipeline-of-hi-c-assembly-qradv2e"", ""https://www.protocols.io/view/fish-genome-assembly-and-annotation-pipeline-ss3eegn"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-scaff-b6hgrb3w"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/genome-assembly-nanopore-and-illumina-reads-dfit3ken"", ""https://www.protocols.io/view/de-novo-genome-protocol-from-only-ont-reads-dciq2udw"", ""https://www.protocols.io/view/chromosome-level-genome-assembly-using-hifi-reads-b52l6bye"", ""https://www.protocols.io/view/hi-c-library-preparation-for-genome-scaffolding-bp2l6byze"", ""https://www.protocols.io/view/genome-assembly-qc-and-annotation-pipeline-bvt8n6rw"", ""https://www.protocols.io/view/whole-genome-sequencing-de-novo-assembly-and-annot-yxmvmk6n""]",False,
31873830,121278,"[""protocols.io pig skeletal muscle satellite cells pooling myoblast cell pools"", ""protocols.io porcine myoblast isolation satellite cells differentiation in vitro"", ""protocols.io \""cell pool\"" \""satellite cells\"" pig myoblast proliferation differentiation"", ""protocols.io porcine skeletal muscle myoblast isolation cell pooling multiple donors"", ""protocols.io \""pig\"" OR \""porcine\"" \""myoblast\"" OR \""satellite cell\"" isolation pool site:protocols.io""]",[],False,
39596330,237311,"[""protocols.io RNase H1 E. coli R-loop RNA-DNA hybrid cleavage"", ""protocols.io R-loop RNA polymerase RNase H degradation assay protocol"", ""protocols.io RNase H1 R-loop binding cleavage kinetics fluorescence assay EMSA"", ""protocols.io \""RNase H\"" \""R-loop\"" \""RNA polymerase\"" protocol site:protocols.io""]",[],False,
34552577,50594|50595|50675,[],[],False,
31077316,13216,"[""protocols.io de novo genome assembly hybrid Illumina Oxford Nanopore"", ""protocols.io peafowl genome assembly sequencing protocol"", ""protocols.io hybrid genome assembly Illumina Nanopore scaffolding repeat resolution avian bird"", ""protocols.io de novo assembly Nanopore long read HMW DNA extraction high molecular weight bird genome""]","[""https://www.protocols.io/view/genome-assembly-nanopore-and-illumina-reads-dfit3ken"", ""https://www.protocols.io/view/hybrid-de-novogenome-assembly-using-illumina-pacbi-kxygxr5dg8j2/v1"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-scaff-b6hgrb3w"", ""https://www.protocols.io/view/protocols-for-34-sequencing-smart-de-novo-sequenci-3byl47xkzlo5/v1"", ""https://www.protocols.io/view/protocols-for-34-sequencing-smart-de-novo-sequenci-bd3ri8m6"", ""https://www.protocols.io/view/project-psyche-sample-collection-to-genome-assembl-yxmvmbk1bg3p/v1"", ""https://www.protocols.io/view/fish-genome-assembly-and-annotation-pipeline-ss3eegn"", ""https://www.protocols.io/view/c-sop-1001-high-molecular-weight-dna-hmw-dna-extra-8epv5xmr6g1b/v1"", ""https://www.protocols.io/view/hmw-gdna-extraction-from-prokaryotic-cultures-and-cwumxeu6""]",False,
38388166,28094,"[""protocols.io qPCR culture shotgun metagenomics Klebsiella pneumoniae poultry gut microbiome"", ""protocols.io Klebsiella pneumoniae quantification turkey broiler gut microbiome protocol"", ""protocols.io Kaspersen Klebsiella poultry metagenomics qPCR culturing protocol"", ""protocols.io poultry cecal gut microbiome shotgun metagenomics DNA extraction qPCR Klebsiella""]","[""https://www.protocols.io/view/detection-of-klebsiella-pneumoniae-in-healthy-poul-cz4vx8w6"", ""https://www.protocols.io/view/isolation-of-klebsiella-strains-from-human-or-anim-662hhge"", ""https://www.protocols.io/view/zkir-qpcr-for-detection-and-quantification-of-kleb-bpecmjaw"", ""https://www.protocols.io/view/protocol-for-whole-shotgun-metagenomics-pipeline-f-dvbk62kw"", ""https://www.protocols.io/view/protocol-for-dna-extraction-and-shotgun-metagenomi-c8wqzxdw"", ""https://www.protocols.io/view/shotgun-metagenomics-sequencing-and-bioinformatic-bpwempew"", ""https://www.protocols.io/view/dna-extraction-from-poultry-cecal-content-for-meta-8epv5xn9"", ""https://www.protocols.io/view/bacterial-culture-and-selective-isolation-of-enter-rm7vzy86"", ""https://www.protocols.io/view/klebsiella-pneumoniae-species-complex-detection-cu-5jyl8py6"", ""https://www.protocols.io/view/fecal-dna-extraction-for-shotgun-metagenomics-and-bveen3e6""]",False,
37829276,18087|239646,"[""protocols.io xenacoelomorph genome sequencing single specimen low-input long-read"", ""protocols.io nemertodermatida genome sequencing protocol"", ""protocols.io single small marine invertebrate genome low-input long-read sequencing protocol"", ""protocols.io PacBio ultra-low input HiFi single meiofauna worm genome assembly""]","[""https://www.protocols.io/view/picogram-input-multimodal-sequencing-pimms-rm7vzywy5lx1"", ""https://www.protocols.io/view/ultra-low-input-library-preparation-of-single-soil-c4rjyv4n"", ""https://www.protocols.io/view/pacbio-ampli-fi-amplifying-genomic-dna-for-smrtbel-hmj8b44rx"", ""https://www.protocols.io/de/view/pacbio-smrtbell-library-preparation-using-kit-3-0-4r3l21w3xg1y/v1"", ""https://www.protocols.io/view/whole-genome-amplification-and-long-read-sequencin-cv99w996"", ""https://www.protocols.io/view/ipa-assembly-for-hifi-pacbio-reads-buwfnxbn"", ""https://www.protocols.io/view/low-input-long-read-dna-isolation-for-nanopore-seq-nc5day6"", ""https://www.protocols.io/view/protocol-of-dna-extraction-for-nanopore-long-reads-bzbdp2i6"", ""https://www.protocols.io/view/cell-sorting-of-marine-heterotrophic-flagellates-f-ywpfxdn"", ""https://www.protocols.io/view/ultra-long-read-sequencing-protocol-for-rad004-mrxc57n""]",False,
30268511,121476,"[""mammosphere assay seeding density MCF-7 breast cancer stem cell protocols.io"", ""site:protocols.io mammosphere assay seeding density optimization"", ""protocols.io mammosphere formation efficiency breast cancer stem cell MCF-7 ultralow attachment"", ""protocols.io mammosphere assay cell aggregation clonal breast cancer stem cell frequency""]",[],False,
40872802,1744,"[""protocols.io lytic phage Pseudomonas aeruginosa multidrug-resistant genomic characterization Galleria mellonella"", ""protocols.io bacteriophage isolation characterization MDR Pseudomonas aeruginosa phage therapy Galleria mellonella infection model"", ""protocols.io phage isolation characterization Pseudomonas aeruginosa MDR Galleria mellonella protocol"", ""site:protocols.io bacteriophage Pseudomonas aeruginosa lytic phage isolation genomic characterization Galleria mellonella""]",[],False,
