pmid,target_protocol_ids,queries_issued,candidate_urls,is_hit,hit_rank
41413855,239360,"[""protocols.io GBLUP WGBLUP genomic selection beef cattle simulation protocol"", ""protocols.io genomic prediction linkage disequilibrium reference population livestock"", ""protocols.io genomic selection simulation GBLUP WGBLUP mixed reference population SNP cattle"", ""protocols.io site:protocols.io genomic breeding value prediction beef cattle simulation""]",[],False,
42082551,310914,"[""protocols.io NLRP3 inflammasome ASC-GFP speck live-cell imaging"", ""protocols.io NLRP3 inflammasome pyroptosis ASC speck tracking protocol"", ""protocols.io ASC speck single-cell live imaging nigericin ATP monosodium urate THP-1"", ""protocols.io NLRP3 inflammasome live cell imaging IL-1beta IL-18 pyroptosis single cell"", ""protocols.io \""ASC speck\"" \""live cell\"" OR \""live-cell\"" imaging inflammasome nigericin ATP MSU protocol""]",[],False,
28945705,116161,"[""SLAM seq SH-linked alkylation metabolic RNA sequencing protocol protocols.io"", ""4-thiouridine s4U RNA labeling sequencing protocol protocols.io"", ""SLAMseq metabolic RNA labeling iodoacetamide protocols.io site:protocols.io""]","[""https://www.protocols.io/view/thiol-linked-alkylation-for-the-metabolic-sequenci-dm6gp9dm8vzp/v1"", ""https://www.protocols.io/view/thiol-linked-alkylation-for-the-metabolic-sequenci-dvn965h6"", ""https://www.protocols.io/view/nascent-rna-4su-labelling-and-enrichment-x54v9rxzqv3e/v1"", ""https://www.protocols.io/view/nasc-seq-new-transcriptome-alkylation-dependent-si-whtfb6n"", ""https://www.protocols.io/view/scnt-seq2-single-cell-metabolically-labelled-new-r-de4h3gt6"", ""https://www.protocols.io/view/transient-transcriptome-sequencing-experimental-pr-3vzgn76""]",True,2
41652543,33432|43337,"[""protocols.io plant genome sequencing Oxford Nanopore long-read genomics workflow"", ""protocols.io ONT plant genome assembly long-read sequencing protocol"", ""protocols.io plant genome sequencing project planning DNA extraction HMW ONT newcomers guidelines"", ""protocols.io \""plant long-read genomics\"" OR \""plant genome sequencing\"" ONT workflow biodiversity phylogenetic""]","[""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-scaff-b6hgrb3w"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-quali-e6nvw578zvmk/v2/v1"", ""https://www.protocols.io/view/long-read-plant-genome-assembly-and-annotation-sca-ewov14bz7vr2/v1"", ""https://www.protocols.io/view/plant-dna-extraction-and-preparation-for-ont-seque-kxygxenmkv8j/v1"", ""https://www.protocols.io/view/total-high-molecular-weight-dna-extraction-from-pl-b5qyq5xw"", ""https://www.protocols.io/view/hmw-dna-extraction-from-diverse-plants-species-for-5t7g6rn"", ""https://www.protocols.io/view/de-novo-genome-protocol-from-only-ont-reads-dciq2udw"", ""https://www.protocols.io/view/ultra-long-read-sequencing-protocol-for-oxford-nan-5qpvodxxg4o1/v1"", ""https://www.protocols.io/view/scalable-high-molecular-weight-dna-extraction-for-bnjhmcj6""]",True,10
34596274,247022,"[""protocols.io glucose tolerance test mice preclinical diabetes"", ""protocols.io fasting blood glucose mice experimental protocol"", ""protocols.io continuous glucose monitoring mice insulin tolerance test diabetes"", ""protocols.io hyperinsulinemic euglycemic clamp mouse glucose homeostasis""]","[""https://www.protocols.io/view/ip-glucose-tolerance-test-in-mouse-wxhffj6"", ""https://www.protocols.io/view/oral-glucose-tolerance-test-in-mouse-ujjeukn"", ""https://www.protocols.io/view/case-intraperitoneal-glucose-tolerance-test-14egnxmqml5d/v1"", ""https://www.protocols.io/view/intraperitoneal-glucose-tolerance-testing-ipgtt-3g7gjzn"", ""https://www.protocols.io/view/glucose-tolerance-test-261geddodv47/v1"", ""https://www.protocols.io/view/insulin-tolerance-test-in-mouse-wxjffkn"", ""https://www.protocols.io/view/u-mass-hyperinsulinemic-euglycemic-clamp-xzefp3e""]",False,
28530655,121893|121894,"[""Tuba-seq tumor barcoding ultradeep barcode sequencing protocols.io"", ""protocols.io CRISPR Cas9 lung adenocarcinoma mouse model tumor suppressor barcoding"", ""protocols.io Tuba-seq lentiviral barcoding lung tumor sequencing library"", ""protocols.io \""Tuba-seq\"" OR \""tumor barcoding\"" CRISPR lung cancer mouse site:protocols.io""]","[""https://www.protocols.io/view/barcoding-lentiviral-cre-vectors-for-use-in-experi-ewov1dwxpvr2/v1"", ""https://www.protocols.io/view/barseq-in-situ-library-preparation-and-sequencing-bdedi3a6"", ""https://www.protocols.io/view/multi-seq-barcoding-and-library-preparation-kxygx3xzkg8j/v1"", ""https://www.protocols.io/view/ncov-2019-sequencing-protocol-rapid-barcoding-1200-bgggjttw"", ""https://www.protocols.io/view/crispr-cas9-genome-editing-in-mice-bmr5k586"", ""https://www.protocols.io/view/lentiviral-production-and-transduction-6qpvr4n7bvmk"", ""https://www.protocols.io/view/intratracheal-instillation-in-mice-bvken3ke"", ""https://www.protocols.io/view/illumina-library-preparation-amplicon-sequencing-bhf2j3qe"", ""https://www.protocols.io/view/genomic-dna-extraction-from-mouse-lung-tissue-bscenaue"", ""https://www.protocols.io/view/mouse-lung-tumor-quantification-bpf2mjqn""]",True,1
25665179,121611,"[""protocols.io cell-SELEX aptamer lipid nanoparticles siRNA osteoblast"", ""protocols.io CH6 aptamer LNP siRNA bone osteoblast delivery"", ""protocols.io Plekho1 siRNA osteoblast bone anabolic RNAi lipid nanoparticle cell-SELEX"", ""protocols.io \""aptamer-functionalized lipid nanoparticles\"" siRNA osteoblast bone""]","[""https://www.protocols.io/view/preparation-of-aptamer-functionalized-lipid-nanopa-n92ldrx99g5b/v1"", ""https://www.protocols.io/view/plate-cell-selex-rm7vz88bxvx1/v1"", ""https://www.protocols.io/view/cell-selex-aptamer-selection-protocol-bpskmnew/v1"", ""https://www.protocols.io/view/preparation-of-lipid-nanoparticles-lnps-for-sirna-b2msqc6e/v1"", ""https://www.protocols.io/view/lipid-nanoparticle-formulation-for-nucleic-acid-de-bvt8n6rw/v1"", ""https://www.protocols.io/view/sirna-lipid-nanoparticle-preparation-by-ethanol-in-bpvgmm3w/v1"", ""https://www.protocols.io/view/aptamer-conjugation-to-lipid-nanoparticles-post-in-6qpvr4n7bvmk/v1"", ""https://www.protocols.io/view/osteoblast-cell-culture-and-differentiation-assay-bdpsi5ne/v1"", ""https://www.protocols.io/view/in-vivo-bone-microarchitecture-analysis-by-micro-c-bpd6mi3e/v1"", ""https://www.protocols.io/view/rna-interference-rnai-gene-silencing-in-primary-ce-bscfnaven/v1""]",True,1
35853087,45556,"[""protocols.io retracted articles citing entities methodology topic modeling"", ""protocols.io retraction citation analysis sentiment topic modeling protocol"", ""protocols.io Heibi Peroni retracted articles citation analysis protocol"", ""protocols.io \""retracted articles\"" \""citing\"" \""sentiment\"" OR \""topic modeling\"" OR \""OpenCitations\"" site:protocols.io""]","[""https://www.protocols.io/view/a-methodology-for-gathering-and-annotating-the-raw-bdc4i2yw"", ""https://dx.doi.org/10.17504/protocols.io.bdc4i2yw"", ""https://www.protocols.io/view/coverage-of-doaj-journals-39-citations-through-ope-cdbjs2kn.html"", ""https://www.protocols.io/view/protocol-proci-defm3bk6.html"", ""https://www.protocols.io/view/open-citation-analysis-retracted-articles-humanities"", ""https://www.protocols.io/view/wakefield-retraction-citation-analysis-protocol"", ""https://www.protocols.io/view/citation-sentiment-analysis-retracted-publications"", ""https://www.protocols.io/view/topic-modeling-citing-entities-retracted-articles"", ""https://www.protocols.io/view/opencitations-metadata-extraction-protocol"", ""https://www.protocols.io/view/crossref-api-metadata-retrieval-scholarly-articles""]",True,1
28394336,121866,"[""MSFragger open database search proteomics protocol protocols.io"", ""fragment ion indexing peptide identification mass spectrometry protocol protocols.io"", ""protocols.io MSFragger FragPipe open search post-translational modifications workflow"", ""protocols.io \""MSFragger\"" \""open search\"" site:protocols.io""]","[""https://www.protocols.io/view/using-msfragger-for-ultrafast-database-searching-36wgqdzekvk5/v1"", ""https://www.protocols.io/view/lcm-nanopots-workflow-for-spatial-proteome-mapping-ddya27se"", ""https://www.protocols.io/view/pre-processing-proteomics-data-with-the-alpaca-pip-dm6gp95j5vzp/v1"", ""https://www.protocols.io/view/protein-digestion-and-mass-spectrometry-analysis-p-4r3l2261ql1y/v1"", ""https://www.protocols.io/view/discovery-proteomic-dia-lc-ms-ms-data-acquisition-e6nvwk1z7vmk/v2"", ""https://www.protocols.io/view/pre-processing-proteomics-data-with-the-alpaca-pip-dxpd7mi6""]",True,1
30010754,12801,"[""protocols.io Betta splendens genome assembly Hi-C"", ""protocols.io de novo genome assembly Hi-C chromosome level fish"", ""protocols.io Betta splendens genome DNA extraction library preparation sequencing"", ""protocols.io \""Betta splendens\"" genome site:protocols.io""]","[""https://www.protocols.io/view/high-quality-reference-genome-of-the-siamese-fight-81wgbj43vpko/v1"", ""https://www.protocols.io/view/high-quality-reference-genome-of-the-siamese-fight-qvddw26"", ""https://www.protocols.io/view/the-pipeline-of-hi-c-assembly-rm7vz4b5lx1w/v1"", ""https://www.protocols.io/view/the-pipeline-of-hi-c-assembly-qradv2e"", ""https://protocols.io/view/an-analytical-pipeline-of-assembly-and-annotation-qq9dvz6"", ""https://www.protocols.io/view/dna-extraction-for-the-betta-splendens-genome-6qpvrbpblmkn/v1"", ""https://www.protocols.io/view/rna-extraction-for-the-betta-splendens-genome-n92ld4wol5br/v1""]",True,5
31873830,121278,"[""protocols.io satellite cells skeletal muscle primary culture myoblast myotube pig"", ""protocols.io myoblast isolation satellite cells impedance proliferation differentiation"", ""protocols.io porcine satellite cell isolation primary culture myoblast PAX7 MYOD MYOG"", ""protocols.io Kalbe Metzger pig muscle satellite cell pool xCELLigence impedance"", ""protocols.io primary muscle cell isolation pig myoblast differentiation myotube site:protocols.io""]","[""https://www.protocols.io/view/isolation-and-culture-of-individual-myofibers-and-bqxdmxi6"", ""https://www.protocols.io/view/bovine-satellite-cell-pax7-icc-n2bvjrprxlk5/v1"", ""https://www.protocols.io/view/bovine-satellite-cell-pax7-icc-bp2l643bzvqe/v1"", ""https://www.protocols.io/view/t-cell-cytotoxicity-xcelligence-platform-5jyl8nnx7l2w/v1"", ""https://www.protocols.io/view/primary-myoblast-isolation-and-culture-from-skelet-bpq5mmy6"", ""https://www.protocols.io/view/satellite-cell-isolation-and-primary-myoblast-cult-bp2mmy46"", ""https://www.protocols.io/view/skeletal-muscle-satellite-cell-isolation-and-cultu-bprjmm46"", ""https://www.protocols.io/view/isolation-of-primary-myoblasts-from-skeletal-muscl-bckfiwtn"", ""https://www.protocols.io/view/myoblast-differentiation-into-myotubes-bck9iyw6"", ""https://www.protocols.io/view/real-time-cell-analysis-rtca-proliferation-assay-b4kfqwtn""]",False,
39596330,237311,"[""RNase H1 R-loop RNA-DNA hybrid kinetics protocol site:protocols.io"", ""protocols.io RNase H cleavage R-loop fluorescence kinetics"", ""protocols.io Kuznetsova Kuznetsov R-loop RNase H fluorescence anisotropy kinetics"", ""protocols.io \""R-loop\"" \""RNase H\"" \""RNA-DNA hybrid\"" dissociation constant fluorescence anisotropy gel electrophoresis""]","[""https://www.protocols.io/view/rapid-method-for-measuring-dna-binding-to-protein-261ger7wdl47/v1"", ""https://www.protocols.io/view/dna-analysis-by-native-polyacrylamide-gel-electrop-rm7vzqpxvx1w/v2"", ""https://www.protocols.io/view/rna-concentration-measurement-and-non-denaturing-a-2v5ge86"", ""https://www.protocols.io/view/in-vitro-transcription-and-r-loop-formation-assay-bz9sp96w"", ""https://www.protocols.io/view/rnase-h-cleavage-assay-for-rna-dna-hybrids-n2bvj6n"", ""https://www.protocols.io/view/fluorescence-anisotropy-binding-assay-protocol-kqdg35b"", ""https://www.protocols.io/view/electrophoretic-mobility-shift-assay-emsa-for-prot-bz9rp57w"", ""https://www.protocols.io/view/protein-purification-by-affinity-chromatography-his-b4qsqvwe"", ""https://www.protocols.io/view/denaturing-polyacrylamide-gel-electrophoresis-page-bz9sp96e"", ""https://www.protocols.io/view/stopped-flow-kinetics-assay-for-enzyme-substrate-i-bqbmmsan""]",False,
34552577,50594|50595|50675,"[""protocols.io bioluminescence mycobacteria screening fungi antifungal antimycobacterial"", ""protocols.io Mycobacterium abscessus marinum bioluminescence screen protocol"", ""protocols.io Grey Cadelis Wiles Copp mycobacterium abscessus fungal screening ICMP"", ""protocols.io \""Mycobacterium marinum\"" OR \""Mycobacterium abscessus\"" bioluminescence MIC fungal extract 24-well""]","[""https://www.protocols.io/view/bioluminescence-based-24-well-plate-assay-for-scre-eq2lypqyplx9/v1"", ""https://www.protocols.io/view/bioluminescence-based-minimum-inhibitory-concentra-n2bvjrmx5lk5/v1"", ""https://www.protocols.io/view/bioluminescence-based-minimum-inhibitory-concentra-6qpvr6jrovmk/v1""]",False,
31077316,13216,"[""protocols.io peacock genome assembly Illumina Oxford Nanopore hybrid"", ""protocols.io de novo genome assembly hybrid Illumina ONT scaffolding"", ""protocols.io Pavo cristatus genome sequencing library preparation Illumina nanopore"", ""protocols.io avian genome assembly SOAPdenovo SSPACE MaSuRCA Oxford Nanopore short read scaffolding""]","[""https://www.protocols.io/view/sqk-map005-protocol-for-library-preparation-for-na-gvubw6w"", ""https://www.protocols.io/view/ultra-long-read-sequencing-protocol-for-oxford-nan-bnmymc7w"", ""https://www.protocols.io/view/de-novo-genome-protocol-from-only-ont-reads-dciq2udw.html"", ""https://www.protocols.io/view/soapdenovo-genome-assembly-gr3bv8n"", ""https://www.protocols.io/view/hybrid-de-novogenome-assembly-using-illumina-pacbi-rf4d3qw.html"", ""https://www.protocols.io/view/high-performance-protocol-for-ont-library-preparat-g3pqbymmx"", ""https://www.protocols.io/view/ont-library-prep-for-whole-genome-sequencing-dny95fz6"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-scaff-b6hgrb3w"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/getcampy-sequencing-protocols-g63wbzgpf""]",False,
38388166,28094,"[""protocols.io Klebsiella pneumoniae culturing qPCR metagenomic poultry broiler turkey"", ""protocols.io shotgun metagenomic sequencing bacteria poultry flock detection quantification"", ""protocols.io Klebsiella pneumoniae qPCR ZKIR cecal DNA extraction metagenomic Illumina"", ""protocols.io Norwegian Veterinary Institute Hakon Kaspersen metagenomics poultry microbiome"", ""protocols.io ZKIR qPCR Klebsiella pneumoniae detection fecal cecal culturing SCAI agar Illumina metagenomics""]","[""https://www.protocols.io/view/detection-of-klebsiella-pneumoniae-and-closely-rel-7nshmee"", ""https://www.protocols.io/view/shotgun-metagenomic-sequencing-of-bacterial-enrich-81wgbkjqqgpk/v2"", ""https://www.protocols.io/view/shotgun-metagenomic-sequencing-of-bacterial-enrich-g3fdbyji7.html"", ""https://www.protocols.io/view/dna-extraction-from-fecal-samples-for-metagenomics"", ""https://www.protocols.io/view/illumina-nextera-xt-library-preparation-protocol"", ""https://www.protocols.io/view/klebsiella-pneumoniae-culture-on-scai-agar-detection"", ""https://www.protocols.io/view/qpcr-quantification-of-bacteria-from-complex-sampl"", ""https://www.protocols.io/view/bacterial-dna-extraction-from-cecal-content"", ""https://www.protocols.io/view/shotgun-metagenomics-library-preparation-nextera-xt"", ""https://www.protocols.io/view/maldi-tof-ms-bacterial-identification-protocol""]",True,1
37829276,18087|239646,"[""Ultra-Low Input DNA HiFi genome sequencing single specimen protocols.io"", ""protocols.io ultra-low input DNA library preparation PacBio HiFi single animal"", ""protocols.io Nemertoderma westbladi HiFi genome single specimen xenacoelomorpha"", ""protocols.io PacBio ultra-low input SMRTbell HiFi single animal genome invertebrate site:protocols.io""]","[""https://www.protocols.io/view/ultra-low-input-library-preparation-of-single-soil-c4rjyv4n"", ""https://www.protocols.io/view/ultra-low-input-library-preparation-of-single-soil-n92ldmqr7l5b/v1"", ""https://www.protocols.io/view/pacbio-ampli-fi-amplifying-genomic-dna-for-smrtbel-kqdg3nxzev25/v1"", ""https://www.protocols.io/view/pacbio-smrtbell-library-preparation-using-kit-3-0-4r3l21w3xg1y/v1"", ""https://www.protocols.io/view/pacbio-ampli-fi-amplifying-genomic-dna-for-smrtbel-hmj8b44rx"", ""https://www.protocols.io/view/shearing-of-nematode-hmw-dna-for-hifi-sequencing-d6xy9fpw"", ""https://www.protocols.io/view/low-input-long-read-dna-isolation-for-nanopore-seq-nc5day6"", ""https://www.protocols.io/view/sanger-tree-of-life-wet-laboratory-protocol-collec-8epv5xxy6g1b/v2"", ""https://www.protocols.io/view/project-psyche-sample-collection-to-genome-assembl-g6cgbzatx"", ""https://www.protocols.io/view/preparing-hifi-libraries-from-low-dna-input-using-bvt8n6rw""]",False,
