query,citing_pmid,citing_abstract,ground_truth_title,confirmed_protocol_ids,self_return_position,ground_truth_link,exact_match_position,top1_title,top1_sts_title_only,top1_sts_title_plus_desc,top1_sts_vs_source_paper,best_sts_title_only,best_sts_title_plus_desc,best_sts_vs_source_paper,best_sts_position,best_sts_title
How does reference population size and linkage disequilibrium pattern affect genomic breeding value prediction accuracy using GBLUP and weighted GBLUP in multi-population beef cattle scenarios?,41413855,"Genomic selection (GS) is a key tool to enhance genetic progress in livestock and poultry breeding, but the effects of differences in linkage disequilibrium (LD) patterns between populations and the way reference populations are constructed on the accuracy of genomic prediction (GP) still need to be thoroughly investigated. Therefore, in this study, three beef cattle populations with different genetic backgrounds and LD patterns were simulated to compare the performance of GBLUP, WGBLUP, and their mixed reference population derivation methods (GBLUPmix and WGBLUPmix) in predicting genomic breeding values, with a focus on analyzing the effects of different LD patterns and reference population sizes on prediction performance. The results showed that increasing the reference population size significantly improved the accuracy of GP, especially when the reference population was increased from 4000 to 5000, and the WGBLUPmix model showed the highest prediction accuracy in multi-population integration scenarios. In addition, the performance of the WGBLUPmix model was significantly different in different LD modes. The superiority may be due to the realization of capturing different LD patterns in the genome, adaptation to different genetic contexts of population structure, and better capture of large effect SNP contributions through weight adjustment or assignment. These results highlight the importance of using the WGBLUPmix model to flexibly adjust weights to accommodate different reference population sizes and LD patterns in multi-population genome prediction, demonstrate the superiority of WGBLUP in low-LD populations and its synergistic effect with mixed reference populations, and provide an effective strategy to improve prediction accuracy.",Genomic Best Linear Unbiased Prediction (gBLUP) for the Estimation of Genomic Breeding Values,239360,1,https://www.protocols.io/view/genomic-best-linear-unbiased-prediction-gblup-for-hmy8b47zx,0,Improving Genomic Predictions in Multi-Breed Cattle Populations: A Comparative Analysis of BayesR and GBLUP Models.,0.6614,0.6508,0.8104,0.6614,0.6508,0.8104,2,Improving Genomic Predictions in Multi-Breed Cattle Populations: A Comparative Analysis of BayesR and GBLUP Models.
Track individual NLRP3 inflammasome ASC speck formation and dissolution over time in live macrophages using single-cell imaging to compare dynamics across different triggers.,42082551,"Formation of the NLRP3 inflammasome occurs in response to a wide range of triggers and leads to pyroptosis and release of IL-1β and IL-18. This has widely been considered an “all or nothing” response leading to similar cellular outcomes each time, once the inflammasome has formed, a view that has been challenged over the years. This assumption has largely been based on endpoint measurements at the population level, producing metrics that fail to adequately capture dynamic responses. Herein, we utilize live-cell imaging combined with an algorithmic approach to track individual ASC-GFP specks over time, formed in response to the triggers ATP, monosodium urate and nigericin. Using this approach, we report trigger-dependent differences in speck lifetime. The use of the proposed algorithm requires a relatively small dataset, while still providing insights into NLRP3 inflammasome dynamics downstream of inflammasome activation at the single-cell level.",ASC Speck Formation as a Readout for Inflammasome Activation,310914,0,https://www.protocols.io/view/asc-speck-formation-as-a-readout-for-inflammasome-jtvacnn2f,6,Measuring NLR Oligomerization II: Detection of ASC Speck Formation by Confocal Microscopy and Immunofluorescence.,0.6113,0.8317,0.7518,1.0,0.959,0.6972,6,ASC Speck Formation as a Readout for Inflammasome Activation
Metabolic RNA labeling with 4-thiouridine combined with sequencing to measure transcription rates and RNA decay dynamics simultaneously in mouse embryonic stem cells.,28945705,"Gene expression profiling by high-throughput sequencing reveals qualitative and quantitative changes in RNA species at steady state but obscures the intracellular dynamics of RNA transcription, processing and decay. We developed thiol(SH)-linked alkylation for the metabolic sequencing of RNA (SLAM seq), an orthogonal-chemistry-based RNA sequencing technology that detects 4-thiouridine (s4U) incorporation in RNA species at single-nucleotide resolution. In combination with well-established metabolic RNA labeling protocols and coupled to standard, low-input, high-throughput RNA sequencing methods, SLAM seq enabled rapid access to RNA-polymerase-II-dependent gene expression dynamics in the context of total RNA. We validated the method in mouse embryonic stem cells by showing that the RNA-polymerase-II-dependent transcriptional output scaled with Oct4/Sox2/Nanog-defined enhancer activity, and we provide quantitative and mechanistic evidence for transcript-specific RNA turnover mediated by post-transcriptional gene regulatory pathways initiated by microRNAs and N6-methyladenosine. SLAM seq facilitates the dissection of fundamental mechanisms that control gene expression in an accessible, cost-effective and scalable manner.",Thiol-linked alkylation for the metabolic sequencing of RNA (SLAMseq),116161,2,https://www.protocols.io/view/thiol-linked-alkylation-for-the-metabolic-sequenci-dvn965h6,0,A Protocol for Transcriptome-Wide Inference of RNA Metabolic Rates in Mouse Embryonic Stem Cells.,0.5081,0.4646,0.4329,0.5497,0.64,0.6759,3,Determining mRNA Stability by Metabolic RNA Labeling and Chemical Nucleoside Conversion.
How do I sequence and assemble a plant genome from scratch using Oxford Nanopore long-read sequencing as a beginner?,41652543,"Access to genome sequences is crucial to investigate and engineer traits in plants, explore biodiversity, and support phylogenetic studies. Over the last decade, affordable sequencing devices have substantially increased the size of the genomics community by enabling individual research groups to sequence the genomes of plant species of interest. There has also been a quick development of novel tools for sequencing data analysis. Here, we share experiences with plant long-read genomics methods for Oxford Nanopore Technologies (ONT) and provide hands-on guidelines to support newcomers entering plant genomics. The full workflow from planning a plant genome sequencing project to the public release of associated data sets is covered.",Scalable high-molecular weight DNA extraction for long-read sequencing,"33432,43337",0,https://www.protocols.io/view/scalable-high-molecular-weight-dna-extraction-for-bnjhmcj6,0,"De-novo whole genome assembly of the orange jewelweed, Impatiens capensis Meerb. (Balsaminaceae) using nanopore long-read sequencing.",0.4652,0.414,0.5152,0.5792,0.6411,0.6154,3,Assembling Plant Genomes with Long-Read Sequencing.
"How should I standardize fasting, cage-changing, and glucose tolerance test protocols in mouse diabetes research to improve reproducibility and animal welfare?",34596274,"Mice are used extensively in preclinical diabetes research to model various aspects of blood glucose homeostasis. Careful experimental design is vital for maximising welfare and improving reproducibility of data. Alongside decisions regarding physiological characteristics of the animal cohort (e.g., sex, strain and age), experimental protocols must also be carefully considered. This includes choosing relevant end points of interest and understanding what information they can provide and what their limitations are. Details of experimental protocols must, therefore, be carefully planned during the experimental design stage, especially considering the impact of researcher interventions on preclinical end points. Indeed, in line with the 3Rs of animal research, experiments should be refined where possible to maximise welfare. The role of welfare may be particularly pertinent in preclinical diabetes research as blood glucose concentrations are directly altered by physiological stress responses. Despite the potential impact of variations in experimental protocols, there is distinct lack of standardisation and consistency throughout the literature with regards to several experimental procedures including fasting, cage changing and glucose tolerance test protocol. This review firstly highlights practical considerations with regard to the choice of end points in preclinical diabetes research and the potential for novel technologies such as continuous glucose monitoring and glucose clamping techniques to improve data resolution. The potential influence of differing experimental protocols and in vivo procedures on both welfare and experimental outcomes is then discussed with focus on standardisation, consistency and full disclosure of methods.",The Glucose Tolerance Test in Mice,247022,0,https://www.protocols.io/view/the-glucose-tolerance-test-in-mice-hvgnb63vf,10,"The glucose tolerance test in mice: Sex, drugs and protocol.",0.9022,0.7277,0.638,1.0,0.976,0.5193,10,The Glucose Tolerance Test in Mice
Pooled CRISPR knockout of multiple tumor suppressors in mouse lung cancer models with barcode sequencing to quantify individual tumor growth effects.,28530655,"Cancer growth is a multistage, stochastic evolutionary process. While cancer genome sequencing has been instrumental in identifying the genomic alterations that occur in human tumors, the consequences of these alterations on tumor growth remain largely unexplored. Conventional genetically engineered mouse models enable the study of tumor growth in vivo, but they are neither readily scalable nor sufficiently quantitative to unravel the magnitude and mode of action of many tumor-suppressor genes. Here, we present a method that integrates tumor barcoding with ultradeep barcode sequencing (Tuba-seq) to interrogate tumor-suppressor function in mouse models of human cancer. Tuba-seq uncovers genotype-dependent distributions of tumor sizes. By combining Tuba-seq with multiplexed CRISPR–Cas9-mediated genome editing, we quantified the effects of 11 tumor-suppressor pathways that are frequently altered in human lung adenocarcinoma. Tuba-seq enables the broad quantification of the function of tumor-suppressor genes with unprecedented resolution, parallelization, and precision.",Genomic DNA Isolation from Tissue Samples and Library Prep for Tuba-Seq Barcode Analysis,"121893,121894",0,https://www.protocols.io/view/genomic-dna-isolation-from-tissue-samples-and-libr-d3ae8ibe,0,Protocol for CRISPR screening by AAV episome sequencing (CrAAVe-seq) for cell type-specific CRISPR screens in vivo,0.3295,0.2717,0.376,0.4109,0.6029,0.1304,5,Barcode Sequencing by Illumina NGS
Delivering siRNA specifically to osteoblasts using aptamer-functionalized lipid nanoparticles to silence Plekho1 and promote bone formation in osteoporotic rodents.,25665179,"Currently, major concerns about the safety and efficacy of RNA interference (RNAi)-based bone anabolic strategies still exist because of the lack of direct osteoblast-specific delivery systems for osteogenic siRNAs. Here we screened the aptamer CH6 by cell-SELEX, specifically targeting both rat and human osteoblasts, and then we developed CH6 aptamer–functionalized lipid nanoparticles (LNPs) encapsulating osteogenic pleckstrin homology domain-containing family O member 1 (Plekho1) siRNA (CH6-LNPs-siRNA). Our results showed that CH6 facilitated in vitro osteoblast-selective uptake of Plekho1 siRNA, mainly via macropinocytosis, and boosted in vivo osteoblast-specific Plekho1 gene silencing, which promoted bone formation, improved bone microarchitecture, increased bone mass and enhanced mechanical properties in both osteopenic and healthy rodents. These results indicate that osteoblast-specific aptamer-functionalized LNPs could act as a new RNAi-based bone anabolic strategy, advancing the targeted delivery selectivity of osteogenic siRNAs from the tissue level to the cellular level.",Preparation of aptamer-functionalized lipid nanoparticles (LNPs) encapsulating siRNAs,121611,1,https://www.protocols.io/view/preparation-of-aptamer-functionalized-lipid-nanopa-d2zj8f4n,3,Osteoblast-specific down-regulation of NLRP3 inflammasome by aptamer-functionalized liposome nanoparticles improves bone quality in postmenopausal osteoporosis rats.,0.4308,0.3441,0.529,1.0,1.0,0.65,3,Preparation of aptamer-functionalized lipid nanoparticles (LNPs) encapsulating siRNAs
"Analyze how retracted scientific papers continue to be cited by characterizing citing articles across disciplines, sentiment, and topics using metadata extraction and topic modeling.",35853087,"In this article, we present a methodology which takes as input a collection of retracted articles, gathers the entities citing them, characterizes such entities according to multiple dimensions (disciplines, year of publication, sentiment, etc.), and applies a quantitative and qualitative analysis on the collected values. The methodology is composed of four phases: (1) identifying, retrieving, and extracting basic metadata of the entities which have cited a retracted article, (2) extracting and labeling additional features based on the textual content of the citing entities, (3) building a descriptive statistical summary based on the collected data, and finally (4) running a topic modeling analysis. The goal of the methodology is to generate data and visualizations that help understanding possible behaviors related to retraction cases. We present the methodology in a structured step-by-step form following its four phases, discuss its limits and possible workarounds, and list the planned future improvements.",A methodology for gathering and annotating the raw-data/characteristics of the documents citing a retracted article,45556,0,https://www.protocols.io/view/a-methodology-for-gathering-and-annotating-the-raw-bqqumvww,0,Retracted papers originating from paper mills: a cross-sectional analysis of references and citations.,0.6972,0.6216,0.6885,0.6972,0.6216,0.6885,1,Retracted papers originating from paper mills: a cross-sectional analysis of references and citations.
Fast open-database search tool for identifying peptide modifications in mass spectrometry proteomics data using fragment-ion indexing to catch post-translational and chemical modifications typically missed.,28394336,"There is a need to better understand and handle the 'dark matter' of proteomics—the vast diversity of post-translational and chemical modifications that are unaccounted in a typical mass spectrometry–based analysis and thus remain unidentified. We present a fragment-ion indexing method, and its implementation in peptide identification tool MSFragger, that enables a more than 100-fold improvement in speed over most existing proteome database search tools. Using several large proteomic data sets, we demonstrate how MSFragger empowers the open database search concept for comprehensive identification of peptides and all their modified forms, uncovering dramatic differences in modification rates across experimental samples and conditions. We further illustrate its utility using protein–RNA cross-linked peptide data and using affinity purification experiments where we observe, on average, a 300% increase in the number of identified spectra for enriched proteins. We also discuss the benefits of open searching for improved false discovery rate estimation in proteomics.",Using MSFragger for ultrafast database searching,121866,1,https://www.protocols.io/view/using-msfragger-for-ultrafast-database-searching-d29i8h4e,3,Identification of modified peptides using localization-aware open search.,0.1887,0.6777,0.8397,1.0,0.9923,0.7725,3,Using MSFragger for ultrafast database searching
Chromosome-level reference genome assembly for Betta splendens to study genetic basis of aggression using Hi-C scaffolding and comparative genomics.,30010754,"Abstract Background Siamese fighting fish Betta splendens are notorious for their aggressiveness and accordingly have been widely used to study aggression. However, the lack of a reference genome has, to date, limited the understanding of the genetic basis of aggression in this species. Here, we present the first reference genome assembly of the Siamese fighting fish. Findings Frist, we sequenced and de novo assembled a 465.24-Mb genome for the B. splendens variety Giant, with a weighted average (N50) scaffold size of 949.03 Kb and an N50 contig size of 19.01 Kb, covering 99.93% of the estimated genome size. To obtain a chromosome-level genome assembly, we constructed one Hi-C library and sequenced 75.24 Gb reads using the BGISEQ-500 platform. We anchored approximately 93% of the scaffold sequences into 21 chromosomes and evaluated the quality of our assembly using the high-contact frequency heat map and Benchmarking Universal Single-Copy Orthologs. We also performed comparative chromosome analyses between Oryzias latipes and B. splendens, revealing a chromosome conservation evolution in B. splendens. We predicted  23,981 genes assisted by RNA-sequencing data generated from brain, liver, muscle, and heart tissues of Giant and annotated 15% repetitive sequences in the genome. Additionally, we resequenced five other B. splendens varieties and detected ∼3.4 M single-nucleotide variations and  27,305 insertions and deletions. Conclusions We provide the first chromosome-level genome for the Siamese fighting fish. The genome will lay a valuable foundation for future research on aggression in B. splendens.",DNA extraction for the Betta splendens genome,12801,1,https://www.protocols.io/view/dna-extraction-for-the-betta-splendens-genome-qvedw3e,6,"High-quality reference genome of the Siamese fighting fish Betta splendens, a model species for the study of aggression",0.5713,0.5122,0.9665,1.0,1.0,0.4952,7,DNA extraction for the Betta splendens genome
