pmid,boolean_query,rank,result_pmid,result_title
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",1,37242601,Using ChEMBL to Complement Schistosome Drug Discovery.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",2,32487175,H1-antihistamines as antischistosomal drugs: in vitro and in vivo studies.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",3,34536671,Anti-schistosomal activities of quinoxaline-containing compounds: From hit identification to lead optimisation.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",4,37409934,"The Existing Drug Nifuroxazide as an Antischistosomal Agent: In Vitro, In Vivo, and In Silico Studies of Macromolecular Targets."
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",5,35865824,Docking-Based Virtual Screening Enables Prioritizing Protein Kinase Inhibitors With In Vitro Phenotypic Activity Against Schistosoma mansoni.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",6,32741402,Use of kinase inhibitors against schistosomes to improve and broaden praziquantel efficacy.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",7,37149066,Antiparasitic properties of 4-nerolidylcatechol from Pothomorphe umbellata (L.) Miq. (Piperaceae) in vitro and in mice models with either prepatent or patent Schistosoma mansoni infections.
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",8,32904763,"Identification of 6-(piperazin-1-yl)-1,3,5-triazine as a chemical scaffold with broad anti-schistosomal activities."
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",9,38407619,Sanguinarine: an alkaloid with promising in vitro and in vivo antiparasitic activity against different developmental stages of Schistosoma mansoni and in silico pharmacokinetic properties (ADMET).
37242601,"(""schistosomiasis"" OR ""schistosome"" OR ""Schistosoma"") AND (""drug discovery"" OR ""antiparasitic"" OR ""anti-schistosomal"" OR ""anthelmintic"") AND (""praziquantel"" OR ""chemotherapy"" OR ""drug resistance"" OR ""drug sensitivity"") AND (""functional genomics"" OR ""bioinformatics"" OR ""cheminformatics"" OR ""ChEMBL"" OR ""phenotypic screening"" OR ""in silico"") AND (""schistosomula"" OR ""adult worm"" OR ""egg production"" OR ""ex vivo"")",10,30455056,"Combining bioinformatics, cheminformatics, functional genomics and whole organism approaches for identifying epigenetic drug targets in Schistosoma mansoni."
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",1,36335495,"A Simple Cost-Effective Method for Whole-Genome Sequencing, Haplotyping, and Assembly."
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",2,32231869,IterCluster: a barcode clustering algorithm for long fragment read analysis.
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",3,30940689,"Efficient and unique cobarcoding of second-generation sequencing reads from long DNA molecules enabling cost-effective and accurate sequencing, haplotyping, and de novo assembly."
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",4,34403470,SpecHap: a diploid phasing algorithm based on spectral graph theory.
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",5,29925315,ARKS: chromosome-scale scaffolding of human genome drafts with linked read kmers.
30940689,"(""single-tube long fragment read"" OR ""stLFR"" OR ""DNA cobarcoding"" OR ""co-barcoding"" OR ""linked reads"" OR ""barcode sequencing"") AND (""long fragment"" OR ""long DNA"" OR ""long-range sequencing"" OR ""haplotype phasing"" OR ""phase block"") AND (""whole genome sequencing"" OR ""WGS"" OR ""de novo assembly"" OR ""structural variant"" OR ""diploid assembly"") AND (""microbead"" OR ""bead barcoding"" OR ""combinatorial barcoding"" OR ""second generation sequencing"" OR ""next generation sequencing"")",6,32540955,Ultralow-input single-tube linked-read library method enables short-read second-generation sequencing systems to routinely generate highly accurate and economical long-range sequencing information.
39237830,"(""DiMeLo-seq"" OR ""directed methylation"" OR ""DamID"" OR ""CUT&RUN"" OR ""CUT&TAG"" OR ""ChIP-seq"") AND (""long-read sequencing"" OR ""nanopore sequencing"" OR ""single-molecule sequencing"" OR ""Oxford Nanopore"") AND (""protein-DNA interactions"" OR ""chromatin accessibility"" OR ""protein binding"" OR ""transcription factor binding"") AND (""adenine methylation"" OR ""DNA methylation"" OR ""methyltransferase"" OR ""Hia5"" OR ""Dam methylase"") AND (""genome-wide"" OR ""epigenomics"" OR ""chromatin profiling"")",1,39237830,Mapping protein-DNA interactions with DiMeLo-seq.
39237830,"(""DiMeLo-seq"" OR ""directed methylation"" OR ""DamID"" OR ""CUT&RUN"" OR ""CUT&TAG"" OR ""ChIP-seq"") AND (""long-read sequencing"" OR ""nanopore sequencing"" OR ""single-molecule sequencing"" OR ""Oxford Nanopore"") AND (""protein-DNA interactions"" OR ""chromatin accessibility"" OR ""protein binding"" OR ""transcription factor binding"") AND (""adenine methylation"" OR ""DNA methylation"" OR ""methyltransferase"" OR ""Hia5"" OR ""Dam methylase"") AND (""genome-wide"" OR ""epigenomics"" OR ""chromatin profiling"")",2,35396487,"DiMeLo-seq: a long-read, single-molecule method for mapping protein-DNA interactions genome wide."
39237830,"(""DiMeLo-seq"" OR ""directed methylation"" OR ""DamID"" OR ""CUT&RUN"" OR ""CUT&TAG"" OR ""ChIP-seq"") AND (""long-read sequencing"" OR ""nanopore sequencing"" OR ""single-molecule sequencing"" OR ""Oxford Nanopore"") AND (""protein-DNA interactions"" OR ""chromatin accessibility"" OR ""protein binding"" OR ""transcription factor binding"") AND (""adenine methylation"" OR ""DNA methylation"" OR ""methyltransferase"" OR ""Hia5"" OR ""Dam methylase"") AND (""genome-wide"" OR ""epigenomics"" OR ""chromatin profiling"")",3,41109954,Fine mapping regulatory variants by characterizing native CpG methylation with nanopore long-read sequencing.
39237830,"(""DiMeLo-seq"" OR ""directed methylation"" OR ""DamID"" OR ""CUT&RUN"" OR ""CUT&TAG"" OR ""ChIP-seq"") AND (""long-read sequencing"" OR ""nanopore sequencing"" OR ""single-molecule sequencing"" OR ""Oxford Nanopore"") AND (""protein-DNA interactions"" OR ""chromatin accessibility"" OR ""protein binding"" OR ""transcription factor binding"") AND (""adenine methylation"" OR ""DNA methylation"" OR ""methyltransferase"" OR ""Hia5"" OR ""Dam methylase"") AND (""genome-wide"" OR ""epigenomics"" OR ""chromatin profiling"")",4,35073254,Distinguishing between recruitment and spread of silent chromatin structures in Saccharomyces cerevisiae.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",1,30691651,Adapting dCas9-APEX2 for subnuclear proteomic profiling.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",2,40251151,Selective identification of epigenetic regulators at methylated genomic sites by SelectID.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",3,32681487,Locus-Specific Chromatin Proteome Revealed by Mass Spectrometry-Based CasID.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",4,40054857,Coupling Proximity Biotinylation with Genomic Targeting to Characterize Locus-Specific Changes in Chromatin Environments.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",5,42001531,Proximity labeling tools for studying chromatin interactomes.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",6,41805359,YY1 Interacts with Promoter R-Loops to Regulate Transcription.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",7,35831302,Bromodomain factor 5 is an essential regulator of transcription in Leishmania.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",8,29735996,C-BERST: defining subnuclear proteomic landscapes at genomic elements with dCas9-APEX2.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",9,42401778,Methods for the Investigation of Protein-Ligands Interactions.
29735996,"(""dCas9"" OR ""CRISPR"" OR ""Cas9"") AND (""APEX2"" OR ""ascorbate peroxidase"" OR ""proximity labeling"" OR ""proximity biotinylation"" OR ""BioID"") AND (""proteomics"" OR ""proteomic"" OR ""proteome"") AND (""genomic loci"" OR ""chromatin"" OR ""telomere"" OR ""centromere"" OR ""locus-specific"")",10,34215314,AF10 (MLLT10) prevents somatic cell reprogramming through regulation of DOT1L-mediated H3K79 methylation.
41676688,"(""Caenorhabditis elegans"" OR ""C. elegans"") AND (""collective behavior"" OR ""aggregation behavior"" OR ""collective behaviour"" OR ""aggregation behaviour"") AND (""natural variation"" OR ""natural selection"" OR ""natural population"" OR ""wild population"" OR ""population genetics"") AND (""genome-wide association"" OR ""GWAS"" OR ""quantitative trait locus"" OR ""QTL"" OR ""heritability"" OR ""population effects"" OR ""MLPE"") AND (""elevation"" OR ""elevational gradient"" OR ""environmental gradient"" OR ""habitat"" OR ""cosmopolitan distribution"")",1,41676688,Evidence for natural selection shaping the evolution of collective behavior among global Caenorhabditis elegans populations.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",1,32405060,A single-cell and single-nucleus RNA-Seq toolbox for fresh and frozen human tumors.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",2,32487174,Systematic assessment of tissue dissociation and storage biases in single-cell and single-nucleus RNA-seq workflows.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",3,39402239,Sex-specific proximal tubular cell differentiation pathways identified by single-nucleus RNA sequencing.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",4,42218373,Single-cell RNA-sequencing profiles reveal the developmental landscape of hawthorn leaves.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",5,40797111,Integrative analysis and experimental validation identify the role of CD44 and Nucleolin in regulating gliogenesis following spinal cord injury.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",6,38814983,Single-cell and single-nucleus RNA-sequencing from paired normal-adenocarcinoma lung samples provide both common and discordant biological insights.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",7,30371670,Isolation of Adult Spinal Cord Nuclei for Massively Parallel Single-nucleus RNA Sequencing.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",8,40312738,lute: estimating the cell composition of heterogeneous tissue with varying cell sizes using gene expression.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",9,40229354,A simplified preparation method for single-nucleus RNA-sequencing using long-term frozen brain tumor tissues.
36460793,"(""single-cell RNA sequencing"" OR ""scRNA-seq"" OR ""single cell transcriptomics"") AND (""single-nucleus RNA sequencing"" OR ""snRNA-seq"" OR ""single nucleus transcriptomics"") AND (""comparison"" OR ""benchmark"" OR ""parallel"" OR ""matched"") AND (""cell type"" OR ""cellular composition"" OR ""cell proportion"" OR ""cell distribution"") AND (""tissue"" OR ""frozen tissue"" OR ""fresh tissue"" OR ""colon"" OR ""liver"")",10,39850354,Exploring the utility of snRNA-seq in profiling human bladder tissue: A comprehensive comparison with scRNA-seq.
