p_pmid,x_pmid,query,precedence_hit,detail,papers_returned,papers_traceable,x_imm_size
41227844,27228475,Synthesizing thickness-controlled CsPbBr3 perovskite nanosheets with tunable optical properties using ligand-assisted hot-injection at different temperatures for self-assembled superlattice formation.,True,rank 2 X'=34194945 shared=doi:10.1021/acs.nanolett.5b02404;doi:10.1021/acs.nanolett.5b02985;doi:10.1021/acsnano.5b01154;doi:10.1021/acsnano.5b08193,9,9,28
32241918,13748878,How do silver or zinc ions binding to monomeric amyloid-beta slow fibril formation and affect aggregation kinetics in vitro?,False,,10,10,3
39287614,26072734,"Find me a metal-free nanozyme that targets macrophages in atherosclerotic plaques to activate autophagy and reduce foam cell formation, using photothermal and photoacoustic imaging guidance.",False,,4,4,61
41373590,21430954,Compare lipid composition and melting behavior of meibum from MGD patients and knockout mouse models using LC/MS and differential scanning calorimetry.,False,,6,6,2
42245332,30718833,"Can softwood (e.g., spruce) membranes filter nanoplastics from water using pressure-driven filtration, and how does wood species affect removal efficiency?",False,,1,1,50
39852087,17996102,How can I use droplet digital PCR with melting curve analysis to simultaneously quantify multiple pathogen gene targets using only a single fluorescence channel?,True,rank 2 X'=40686367 shared=doi:10.1038/nbt0492-413,8,7,34
42254535,22833709,How do metabolite profiles of potato seed tubers change during storage at different temperatures using GC-MS and LC-MS untargeted metabolomics?,False,,3,2,21
41702354,26317305,Phase II platform trial evaluating nivolumab combination immunotherapy regimens in advanced non-small-cell lung cancer patients stratified by PD-L1 status and prior anti-PD-1 treatment history.,True,rank 6 X'=42206056 shared=doi:10.1038/70932,6,4,16
41213821,32747400,How well do lupus patients in Thailand produce anti-spike IgG antibodies after two COVID-19 vaccine doses compared to healthy controls?,False,,5,3,40
42038449,15790399,"How do omega-3 and omega-6 fatty acid profiles in red blood cells and plasma change with aging, measured by GC-FID in a large clinical cohort?",True,rank 2 X'=37730162 shared=doi:10.1016/j.ypmed.2004.02.030;doi:10.1016/s0021-9258(18)64849-5,1,1,7
39292752,23095041,How do I use computational pharmacophore merging combined with structure-based design to develop small molecules that simultaneously inhibit PARP1 and BRD4 for breast cancer?,False,,9,9,23
42122640,28505132,Preparing thyme essential oil nanoemulsions stabilized with chitosan nanoparticles using ultrasonication or high-pressure homogenization for use as antimicrobial edible food coatings.,False,,10,10,26
42354146,29588664,Using computational saturation mutagenesis to engineer an Aspergillus niger LPMO with improved lignocellulose-degrading activity and thermostability for wheat straw saccharification.,True,rank 4 X'=28515785 shared=doi:10.1002/pro.689;doi:10.1016/j.chroma.2016.03.064;doi:10.1073/pnas.1323629111;doi:10.1074/jbc.m113.530196,5,5,36
41832540,30857558,"Autoradiography study comparing [18F]MK-6240 tau PET tracer binding in postmortem brain slices from Down syndrome-Alzheimer's, sporadic AD, and normal controls to assess specificity and off-target binding.",True,rank 2 X'=37790438 shared=doi:10.1016/j.neuron.2016.01.028;doi:10.1186/s13195-017-0325-z;doi:10.2967/jnumed.115.171678;doi:10.2967/jnumed.118.208215,5,4,32
41480738,22741550,How do I create and quantify covalently tethered protein concentration gradients within a PEG hydrogel scaffold using sequential photopolymerization and fluorescence imaging?,True,rank 2 X'=32802013 shared=doi:10.1002/adma.200901808;doi:10.1002/anie.200903924;doi:10.1016/j.biomaterials.2009.08.055;doi:10.1016/j.biomaterials.2011.08.073,5,4,49
42525447,21156052,Comparing Oxford Nanopore MinION portable long-read sequencing against Illumina short-read whole-genome sequencing for genotyping Plasmodium falciparum field isolates including low-density clinical samples.,False,,3,2,28
42355009,31164569,"How do I optimize bacteriophage isolation and screening methods from cattle rumen, fecal, and mucosal samples to target bovine pathogens?",True,rank 1 X'=40631329 shared=doi:10.3390/mps1030027;pmid:31164569,7,6,3
40611305,27781173,Preparing chitosan/PVA hydrogel films loaded with plant-synthesized silver nanoparticles and testing their antimicrobial activity and wound healing properties.,False,,9,9,37
40801605,27330291,Treating mouse EAE model of multiple sclerosis with intranasally delivered extracellular vesicles from adipose mesenchymal stem cells to assess immunomodulatory and neuroprotective effects.,False,,5,5,0
41988080,21247157,Using NMR to measure residue-specific folding and unfolding rate constants in spectrin SH3 domain to test whether linear free energy relationships hold across two-state folding equilibrium.,False,,8,6,16
42230816,35848328,How does phosphorylation of the PetD N-terminus regulate STT7 kinase activity and state transitions in Chlamydomonas chloroplast mutants?,False,,6,5,33
42188002,30479912,Using mass spectrometry imaging to map spatial metabolite distributions in colorectal cancer tissues and liver metastases to identify lipid and amino acid biomarkers of metastatic progression.,True,rank 1 X'=25474421 shared=doi:10.1002/anie.200905559,5,5,47
41073421,24586930,How does high-fat diet-induced obesity worsen colitis severity through colonic renin-angiotensin system activation in a mouse model?,False,,3,3,30
40025157,22546835,Metabolomics and lipidomics of cerebrospinal fluid from ME/CFS patients before and after exercise using targeted mass spectrometry to identify disrupted serine and one-carbon metabolic pathways.,True,rank 1 X'=39941050 shared=doi:10.1186/gm337,3,1,14
41353174,32242073,Predict electrospray ionization efficiency from MS2 neutral loss patterns or molecular fingerprints to quantify unknown compounds in LC-HRMS non-targeted analysis without reference standards.,True,rank 2 X'=42043149 shared=doi:10.1007/s00216-015-8681-7;doi:10.1093/nar/gku436,8,8,41
39375837,17708760,"How do nicotinic acid, tryptophan, and thiamine availability affect NAD/NADH redox balance and fermentation metabolite profiles in non-Saccharomyces wine yeasts?",True,rank 2 X'=38637306 shared=doi:10.1016/0003-2697(92)90149-2,5,5,34
41428870,26001057,"How does aducanumab binding affect the structure and flexibility of Aβ1-42 fibrils, particularly the N-terminal region, using solid-state MAS NMR?",True,rank 2 X'=33543942 shared=doi:10.1016/j.cell.2013.08.035;doi:10.1021/ar300282r;doi:10.1021/bi051952q;doi:10.1038/34910,3,2,112
42344331,35215574,Chitosan nanocapsules co-loaded with tea tree oil and thymol for pH-responsive delivery and antibacterial testing against mastitis-causing bacteria like Staphylococcus aureus and E. coli.,False,,1,1,71
38381741,30034689,How does Tet-mediated 5-hydroxymethylcytosine modification on mRNA regulate axon guidance gene expression in Drosophila nervous system development?,True,rank 1 X'=36711932 shared=doi:10.1016/j.cell.2015.04.018;doi:10.1021/ja505305z;doi:10.1039/c6sc01589a;doi:10.1126/science.1170116,9,9,32
42236516,29229823,Use carbon and nitrogen stable isotopes to compare diet and social status differences among Iron Age skeletal remains from a northern Italian necropolis.,False,,8,6,10
41290951,36638652,"How do acetylation, carboxymethylation, and phosphorylation modifications affect the structure and antioxidant activity of black pepper polysaccharides?",False,,2,2,46
42450142,28224799,How does adding chlorine to phenethyl isothiocyanate affect cytotoxicity and apoptosis in multidrug-resistant leukemia cells overexpressing P-glycoprotein?,False,,3,1,29
39598014,24454792,How does IPAF classification affect outcomes and disease course in patients with cryptogenic organizing pneumonia compared to non-IPAF COP cases?,True,rank 1 X'=29667101 shared=doi:10.1002/art.1780251101;doi:10.1056/nejm197502132920706,2,2,28
42115173,29308174,Find hydrogen atom positions in ligand-protected metal nanoclusters using machine learning potentials combined with global structure search methods.,False,,10,10,52
40842600,16911776,How do genomic instability scores and CCNE1 amplification stratify high-grade serous ovarian cancer patients using comprehensive genomic profiling with NGS and FISH validation?,False,,4,1,82
40563481,25938715,How does Mg2+ and SAM binding drive conformational changes in the SAM-VI riboswitch using single-molecule FRET to understand translational regulation?,True,rank 1 X'=37087479 shared=doi:10.1007/s10858-009-9375-2;doi:10.1016/s0076-6879(03)71011-8;doi:10.1038/nature06389;doi:10.1038/nature14352,10,7,45
38534032,28764324,Screen disinfectant quaternary ammonium compounds and their liver-generated phase I metabolites in human fecal samples using LC-ion mobility-tandem mass spectrometry with a CCS/retention time database.,False,,1,1,40
39878587,28507680,Synthesizing and evaluating albumin-targeted platinum(IV) prodrugs based on picoplatin for tumor accumulation and anticancer activity using maleimide conjugation and in vivo mouse tumor models.,True,rank 2 X'=42514874 shared=doi:10.1016/j.jinorgbio.2012.06.013;doi:10.1039/c6dt01414c,1,1,47
