pmid,query,used_in_methods_protocol_ids,hit
33114549,Find the DNA binding motif of a CRP-family transcription factor in Thermus thermophilus using in vitro selection to identify regulated genes in this extremophile.,18635|39818,True
33970926,How does wearing soft-soled shoes affect gait kinematics and spatiotemporal parameters in newly walking toddlers compared to barefoot walking?,45989,True
32333689,"Measuring strontium, oxygen, and carbon isotope variation within single human third molar enamel samples to assess how caries affect isotopic integrity for forensic and archaeological mobility studies.",24517,True
39251619,Nuclear staining and flow cytometry cell cycle analysis protocol for Malassezia yeast with thick lipid-rich cell walls using DAPI or propidium iodide.,2344,True
28346450,Mapping protein-RNA contact sites at single amino acid and nucleotide resolution using crosslinking with isotope-labeled RNA and tandem mass spectrometry in ribonucleoprotein complexes.,121864,False
32854500,R package for calibrating and converting raw fluorescence units from flow cytometry and plate reader data into absolute units for GFP expression in engineered E. coli.,21741|27409,False
34740201,Computational modeling tool to simulate electrical stimulation and recording from rat visceral nerves accounting for anatomical variability in fascicle size and axon diameter.,19271|19927|36536,False
31855083,Sequencing packaged AAV genome to check for mutations or truncations using a simple low-input NGS method suitable for academic labs without GMP resources.,16985,False
34462260,How does beta-cell SENP1 knockout affect incretin-stimulated insulin secretion and glucose tolerance in high-fat diet mice?,14815|19145,True
42524695,"Integrate transcription factor activity, metabolite levels, and metabolic fluxes from scRNA-seq data into a joint latent factor model to better characterize functional cell states in cancer.",252068,False
36360315,"Find differentially expressed genes and pathogenic variants shared across vitamin K deficiency-related conditions like myocardial infarction, renal failure, and prostate cancer using systems genetics and lncRNA analysis.",46880,False
38902223,How does H3.3 histone variant downregulation affect B cell to plasma cell differentiation and chromatin accessibility changes in mice?,122074,False
34457243,Whole-genome sequencing of SARS-CoV-2 clinical samples from Uganda using the ARTIC amplicon protocol to characterize viral lineages and phylogenetic relationships.,36007,False
34484143,Monitoring acetogenic bacteria communities in biogas digesters using FTHFS gene amplicon sequencing and high-throughput analysis to track community shifts and improve process stability.,37580,False
39777783,Recovering and classifying archaeal viruses from marine estuaries that infect Poseidoniales archaea using metagenomic sequencing and phylogenetic analysis.,57770|830|845,False
36149401,How does phosphorylated Rab8 and Rab10 binding to LRRK2 create a feed-forward loop that amplifies kinase activity at membranes in Parkinson's disease?,50829,False
37425958,How does TMEM127 loss affect RET receptor endocytosis and surface accumulation to drive constitutive signaling in pheochromocytoma cells?,256618,False
37337093,"How does GABA inhibition of vasopressin neurons in the supraoptic nucleus change in bile duct-ligated cirrhotic rats, and does intracellular chloride dysregulation contribute?",121261,True
32169215,How does SRPK1-mediated protamine phosphorylation trigger protamine-to-histone exchange and chromatin reprogramming in fertilized mouse oocytes?,121580,True
42539119,Does the C. elegans gustatory receptor LITE-1 function as both a photoreceptor and chemoreceptor for diacetyl avoidance behavior?,22617,False
30862831,Standardizing cell-free microRNA profiling from serum or plasma using spike-in controls and Two-tailed RT-qPCR to assess RNA isolation quality and inhibition in liquid biopsy workflows.,121717,False
38989890,How does proline-to-serine tRNA mistranslation differentially affect gene expression in male versus female Drosophila using RNA-seq transcriptomics?,3315,False
38863673,Find tumor-specific mutation-derived splice junctions from RNA-seq data in melanoma patients to identify neoantigen candidates for immunotherapy.,11534,True
34616066,Map mouse primary motor cortex cell types using single-cell RNA-seq and epigenomics to build a multimodal reference atlas of neuronal and non-neuronal populations.,11605,True
26320937,"Standardized methods for isolating and analyzing extracellular RNA from biofluids including best practices for biofluid collection, particle separation, and exRNA profiling across different vesicle types.",121622,True
28650476,Map protein-protein interactions among Arabidopsis transcription factors using a high-throughput yeast two-hybrid sequencing approach.,121906,True
36045295,Engineering yeast to produce vinblastine precursors vindoline and catharanthine from scratch using heterologous plant genes expressed in Saccharomyces cerevisiae.,36887,False
36555794,Multiplex RT-qPCR assay to rapidly distinguish Omicron subvariants of SARS-CoV-2 in clinical samples without whole genome sequencing.,199148|55889,False
38819130,How did the FDA use wastewater sequencing to track SARS-CoV-2 variant prevalence across US communities during the COVID-19 pandemic using next-generation sequencing?,53258|53350|53493,False
40880479,How does microglial DISC1 knockout affect synaptic pruning and spatial memory in mice through actin cytoskeletal dysregulation?,161270,False
40875780,Detecting mosquito salivary protein-specific IgE in human serum using a capture ELISA to avoid IgG interference and improve sensitivity for diagnosing Aedes aegypti bite allergy.,211793,True
30804551,One-step CRISPR-Cpf1 and AAV system for knocking in CAR constructs while simultaneously knocking out checkpoint genes in human T cells.,122091,False
36824594,Draft genome assembly and annotation of the Australian banjo frog Limnodynastes dumerilii to serve as a reference for amphibian phylogenomics.,33534|33594,True
29901420,How can I standardize and validate macrophage-conditioned medium quality to optimize hybridoma cell survival and monoclonal antibody production using a bioassay?,201300,False
34658337,How does the G2019S LRRK2 mutation affect cilia loss and Hedgehog signaling in striatal neurons of mouse models?,43690,True
41559478,How do HCN channel properties in supragranular pyramidal neurons compare across primate species using patch-seq and single-nucleus RNA sequencing?,52136,False
38273288,Estimate cell-type proportions in bulk human cortex tissue using DNA methylation-based deconvolution with a reference panel including neuronal and glial subtypes for EWAS studies.,42445,False
34447628,How does storing wastewater solids at different temperatures and freeze-thaw cycles affect SARS-CoV-2 RNA measurements for epidemiological surveillance?,55692,True
42367214,Combine RNAscope FISH with immunohistochemistry on mouse brain sections to detect and quantify specific mRNA transcripts within defined neuronal cell populations at single-cell resolution.,217486,False
36217031,Search for large serine recombinases with high efficiency for site-specific integration of large DNA payloads into human cells without double-strand breaks.,28026,False
30397333,Comparative genomics analysis of parasitic nematodes and flatworms to identify expanded gene families and potential drug targets across multiple worm species.,122011|122015|122022|122026|122028|122029,True
29269866,Epigenome-wide DNA methylation differences in white blood cells associated with intravenous drug use and hepatitis C coinfection in HIV-positive patients.,121966,True
21702933,"How do lymphatic endothelial cells form new vessels in adult pathological models like corneal assay and lymphangioma, examined by transmission electron microscopy?",121131,False
36951106,How does alanyl-tRNA synthetase maintain chiral selectivity against D-alanine and what role does DTD play in correcting D-amino acid mischarging during translation?,121325,False
42391002,Single-cell RNA sequencing protocol for anaerobic Bacteroidota gut bacteria using FACS sorting and MATQ-seq with ribosomal RNA depletion in Bacteroides thetaiotaomicron.,258601,False
35243422,"Multiomics longitudinal profiling of serial biopsies from a metastatic breast cancer patient to track tumor evolution, immune microenvironment changes, and therapy resistance mechanisms over time.",47595,False
39359233,Review 3D in vitro human skin models as alternatives to animal testing for toxicology and risk assessment studies.,237191,False
30462808,Does LT4-induced subclinical hyperthyroidism cause oxidative stress and redox imbalance in thyroidectomy patients receiving TSH suppression therapy?,24110,False
33350435,Optimized protocol for isolating and maintaining quiescent hepatic stellate cells from mouse liver using Nycodenz gradient and serum-free culture conditions to study fibrosis activation in vitro.,281914,True
30271992,Compare metabarcoding versus morphology-based taxonomy for assessing meiofaunal biodiversity in benthic invertebrate communities to identify method-dependent biases in diversity estimates.,121300,True
39510801,Comparing proteomes of mouse macrophage cell lines like RAW264.7 and J774A.1 versus primary bone marrow-derived macrophages using mass spectrometry to find the best model for inflammation research.,162311|206474,True
21572423,"How do basement membrane gaps form during vulval invasion in C. elegans, and what role do integrins play in regulating basement membrane remodeling?",121336,True
24218132,How to optimize PCR conditions for amplifying a high GC-content EGFR promoter region to detect SNPs at positions -216G>T and -191C>A?,239411,True
29256496,Genome-wide STARR-seq screen to identify active enhancers in human cells while controlling for plasmid-based artifacts like interferon response and ORI promoter activity.,121971|121973|121974|121975,True
33923007,Assessing heavy metal contamination and land capability classification of agricultural soils in Abu Dhabi using geochemical indices and multivariate statistics.,20442,True
33529123,"Optimized sheep somatic cell nuclear transfer protocol combining zona-free cloning, embryo aggregation, and caffeine-based cytoplast activation control to improve blastocyst development and offspring production efficiency.",35043,True
37237607,Monitoring diabetic versus normal cutaneous wound healing in adult zebrafish using optical coherence tomography angiography to track vascular and tissue remodeling over time.,28876,True
41800616,Pull down vault RNA binding proteins from human lung epithelial cells using antisense DNA probes and UV crosslinking followed by mass spectrometry to identify vtRNA interactors.,200568,False
35528780,Comparing bioinformatics tools for metatranscriptomic analysis of Microcystis harmful algal blooms to determine which best captures gene expression and community composition.,28312|38526|49795|49797|51001,True
33996275,Comparing ultrafiltration versus iron chloride flocculation for concentrating and purifying viral DNA from wastewater and environmental water samples before metagenomic sequencing.,822,True
32488088,Using FIB/SEM serial cross-sections to visualize chromatin fiber organization and diameter distribution inside human metaphase chromosomes.,121164,True
39664262,Isolating and genetically characterizing new marine phytoplankton strains from Canadian waters using long-read sequencing of rRNA genes to build reference databases for species identification.,38081,False
28877184,How do you perform real-time RT-qPCR gene expression analysis on bacterial and mammalian RNA samples aboard the International Space Station in microgravity conditions?,7166,False
