p_pmid,x_pmid,query,precedence_hit,detail,papers_returned,papers_traceable,x_imm_size
41774679,32012794,Lipidomic and metabolomic profiling by 1H-NMR of blood from long COVID patients compared to acute COVID-19 and healthy controls to identify lipid and metabolite alterations linked to persistent symptoms.,True,rank 2 X'=39154734 shared=doi:10.1016/j.cll.2006.07.006;doi:10.1021/acs.jproteome.8b00411,3,3,187
28093672,17563885,How do different QuEChERS extraction modifications affect pesticide recovery and matrix effects when analyzing multiple pesticide residues in soil using GC-MS/MS and GC-ECD/NPD?,True,rank 1 X'=41334194 shared=doi:10.1016/s0021-9673(02)01610-2,2,2,37
42122682,35320366,Lactoferrin-functionalized PLGA nanoparticles loaded with tamoxifen for targeted drug delivery to glioblastoma cells and overcoming temozolomide resistance.,False,,5,5,61
26369777,24077854,Map disulfide bonds in proteins like beta-lactoglobulin using online LC coupled with electrochemical reduction before high-resolution mass spectrometry in a bottom-up proteomics workflow.,True,rank 1 X'=32319757 shared=doi:10.1002/mas.10025;doi:10.1007/s00216-013-7374-3;doi:10.1021/bi00892a002;doi:10.1021/ja00022a058,3,3,37
42033071,34296318,How does ex vivo DHA and EPA supplementation affect phagocytic activity and oxylipin profiles in primary human macrophages?,False,,4,3,40
39409411,27209594,"Measuring fibronectin, laminin-5, and collagen IV in plasma, urine, and tissue from kidney cancer patients using surface plasmon resonance imaging biosensors for tumor staging.",False,,4,1,30
37877727,22709606,Using urine spectrophotometry to detect low rifampin exposure in TB patients as a cheaper alternative to serum drug monitoring.,False,,4,1,22
36985489,25258282,"Methods for detecting mycotoxin contamination in plant-based fish feed ingredients using chromatographic, immunological, or biosensor-based analytical techniques.",False,,5,5,47
42232193,23752469,"Green synthesis of CuO, ZnO, and Co3O4 nanoparticles using watermelon seed extract and evaluation of their antimicrobial and antioxidant activities.",False,,3,3,19
42267142,36144680,"How well do computational tools predict 3D structures of single-stranded DNA oligonucleotides, including G-quadruplexes, compared to experimentally determined structures?",True,rank 2 X'=40610378 shared=doi:10.1038/s41586-021-03819-2;doi:10.1038/s41598-017-01348-5,4,4,46
40220342,29449874,How does drought stress affect triacylglycerol accumulation and lipid remodeling in wild-type versus transgenic high-leaf-oil tobacco plants?,False,,3,3,22
37376218,25514223,Hyaluronic acid-decorated lipid polymer hybrid nanoparticles for CD44-targeted delivery of Cordyceps militaris extract to breast cancer cells evaluated by cellular uptake and cytotoxicity assays.,False,,4,3,30
41515301,25938789,"How can graphene, CNT, or MXene electrochemical sensors detect lead, cadmium, and mercury in contaminated water using voltammetry or colorimetric methods?",True,rank 1 X'=42395740 shared=doi:10.1002/1521-4109(200210)14:18<1294::aid-elan1294>3.0.co;2-r;doi:10.1016/j.aca.2004.06.071;doi:10.1016/j.electacta.2004.03.004;doi:10.1016/j.electacta.2005.07.022,5,5,146
35631771,22567549,How does endogenous IAA levels and auxin-related gene expression differ between embryogenic and non-embryogenic callus during somatic embryogenesis induction in tamarillo?,False,,1,1,20
42076105,26604926,How does soaking enteric-coated pellets in different beverages like alkaline mineral water affect premature drug release before reaching the intestine?,False,,3,2,23
40565631,35190742,"Comparing nutritional composition, vitamin content, and antioxidant activity of peels from multiple Cucurbita species to evaluate their potential as functional food ingredients.",False,,3,3,21
38668446,30402327,How do salts and wastewater contaminants affect ciprofloxacin adsorption onto green-synthesized copper nanoparticles made from mangosteen extract?,False,,1,1,35
40791300,30079260,Develop a UPLC chromatographic fingerprint combined with single-marker quantification method to evaluate the quality of YiQing granules from multiple manufacturers.,False,,1,1,13
42436108,17452350,"How does the human NatB acetyltransferase complex bind to ribosomes during translation to modify nascent protein N-termini, based on cryo-EM structural analysis?",True,rank 1 X'=36638802 shared=doi:10.1107/s0907444904019158,4,4,28
42123782,17828561,"Synthesizing imidazo[1,2-a]pyridines from 2-aminopyridines and chalcones using iodine with a choline chloride–tartaric acid deep eutectic solvent as a green, metal-free catalytic medium.",False,,1,1,32
42193140,32492406,"How do complement activation, coagulation, and iron metabolism interact at the network level in severe COVID-19 using integrated proteomics and transcriptomics?",True,rank 3 X'=41921044 shared=doi:10.1016/j.cell.2020.05.032,4,3,57
42552994,19129229,Does telomere length measured at first breeding predict lifespan and lifetime reproductive success in wild barn swallows?,False,,1,1,4
42554218,30990168,How does low arginine in the tumor microenvironment affect lipid metabolism and PUFA sensitivity in pancreatic cancer cells?,True,rank 2 X'=42518779 shared=doi:10.1016/j.cell.2015.08.012;doi:10.1016/j.cell.2016.09.031,4,4,109
42564775,26785684,"Designing and testing dipeptide-coumarin conjugates as COX-2 inhibitors using molecular docking, SPPS synthesis, and rat paw edema models to assess anti-inflammatory activity.",False,,1,1,264
42258534,29070702,How does human RNA ligase 1 regulate ribosome association and global translation during oxidative stress using polysome profiling and mass spectrometry?,True,rank 2 X'=42346133 shared=doi:10.1016/j.cell.2015.06.043,5,5,79
42310533,24443746,Detecting ovarian cancer protein biomarkers in liquid-based Pap test cervical fluid samples using mass spectrometry-based proteomics to distinguish cancer cases from healthy controls.,False,,5,4,85
30524248,783172,How to prepare and image C. elegans whole nervous system samples using volume electron microscopy to reconstruct synaptic connectivity maps.,True,rank 1 X'=37409324 shared=doi:10.1083/jcb.30.2.424,4,4,43
42198196,24877757,"Optimizing polymer blends like PVP, sodium alginate, and hyaluronic acid for fabricating dissolving microneedle arrays via mold casting to balance mechanical strength and dissolution rate.",True,rank 1 X'=40949858 shared=doi:10.1007/s11095-010-0169-8,3,3,28
40423779,22352995,Molecular dynamics simulation of C. elegans TAX-4 cyclic nucleotide-gated channel to study cGMP-dependent gating conformational changes using cryo-EM open-state structure.,False,,2,2,148
41650025,29079756,Using CSF proteomics and machine learning to classify Alzheimer's patients into molecular subtypes based on disease progression and biomarker profiles.,False,,4,4,29
41522694,25247823,Generate diverse protein conformational states by combining MD trajectory data with free-energy maps in an autoencoder framework to explore poorly sampled regions without running additional simulations.,True,rank 1 X'=41124671 shared=doi:10.1016/0021-9991(77)90121-8;doi:10.1021/jp045546c;doi:10.1021/jp062755j;doi:10.1021/jp100926h,3,3,115
35563745,9166424,How does extracellular ribosomal RNA synergize with TLR2 agonists like Pam2CSK4 to amplify macrophage inflammatory cytokine production via NF-κB signaling?,False,,2,1,49
40640151,29378131,"How does exciton radiative lifetime change with nanocrystal size in CsPbBr3 perovskite quantum dots, and what role does crystal symmetry play?",True,rank 1 X'=40902118 shared=doi:10.1002/adfm.201604580;doi:10.1021/acs.jpclett.7b02193;doi:10.1021/acs.nanolett.5b02404;doi:10.1021/acsnano.5b01154,5,5,71
42402181,32046308,How does intranasal insulin administration affect oxidative stress markers like lipid peroxidation and superoxide dismutase activity across different rat brain regions over time?,False,,5,5,140
35174342,13502425,"How does dietary ferulic acid supplementation affect growth rate, carcass quality, muscle fiber size, and myosin heavy chain gene expression in meat lambs?",False,,3,3,28
41772602,17389646,Overexpressing a transcription factor to boost heterologous protein secretion yields in Aspergillus fungal cell factories using multi-omics and synthetic biology approaches.,False,,3,2,3
40204992,21117055,How can I site-specifically attach multiple payloads like nanobodies or dyes to antibodies in a homogeneous way using ubiquitin-based conjugation chemistry?,False,,4,4,45
42216761,32719532,"How does APE1 search along DNA to find abasic sites, studied using single-molecule fluorescence imaging?",False,,5,5,45
42417395,34056637,Using CRISPR tagging and single-molecule imaging to track how endogenous EWS::FLI1 condensates form and dissolve in living Ewing sarcoma cells.,False,,1,1,29
41591904,24803862,How does pH versus bicarbonate regulate soluble adenylyl cyclase activity in sea urchin and fish sperm compared to mammalian sperm?,False,,3,3,51
42276069,36229504,How do blood-based senescence protein signatures from specific cell types correlate with aging outcomes and disease trajectories in longitudinal human cohort studies?,False,,4,4,24
41944730,29359755,Identify proteins associated with specific genomic loci using oligonucleotide-directed proximity biotinylation coupled with quantitative proteomics in human cells.,False,,4,4,65
41227844,27228475,Synthesizing thickness-controlled CsPbBr3 perovskite nanosheets with tunable optical properties using ligand-assisted hot-injection at different temperatures for self-assembled superlattice formation.,True,rank 1 X'=34194945 shared=doi:10.1021/acs.nanolett.5b02404;doi:10.1021/acs.nanolett.5b02985;doi:10.1021/acsnano.5b01154;doi:10.1021/acsnano.5b08193,5,5,28
32241918,13748878,How do silver or zinc ions binding to monomeric amyloid-beta slow fibril formation and affect aggregation kinetics in vitro?,False,,5,5,3
39287614,26072734,"Find me a metal-free nanozyme that targets macrophages in atherosclerotic plaques to activate autophagy and reduce foam cell formation, using photothermal and photoacoustic imaging guidance.",False,,1,1,61
41373590,21430954,Compare lipid composition and melting behavior of meibum from MGD patients and knockout mouse models using LC/MS and differential scanning calorimetry.,False,,1,1,2
42245332,30718833,"Can softwood (e.g., spruce) membranes filter nanoplastics from water using pressure-driven filtration, and how does wood species affect removal efficiency?",False,,1,1,50
39852087,17996102,How can I use droplet digital PCR with melting curve analysis to simultaneously quantify multiple pathogen gene targets using only a single fluorescence channel?,True,rank 1 X'=40686367 shared=doi:10.1038/nbt0492-413,4,3,34
42254535,22833709,How do metabolite profiles of potato seed tubers change during storage at different temperatures using GC-MS and LC-MS untargeted metabolomics?,False,,3,2,21
41702354,26317305,Phase II platform trial evaluating nivolumab combination immunotherapy regimens in advanced non-small-cell lung cancer patients stratified by PD-L1 status and prior anti-PD-1 treatment history.,True,rank 5 X'=42206056 shared=doi:10.1038/70932,5,4,16
41213821,32747400,How well do lupus patients in Thailand produce anti-spike IgG antibodies after two COVID-19 vaccine doses compared to healthy controls?,False,,4,2,40
42038449,15790399,"How do omega-3 and omega-6 fatty acid profiles in red blood cells and plasma change with aging, measured by GC-FID in a large clinical cohort?",True,rank 1 X'=37730162 shared=doi:10.1016/j.ypmed.2004.02.030;doi:10.1016/s0021-9258(18)64849-5,1,1,7
39292752,23095041,How do I use computational pharmacophore merging combined with structure-based design to develop small molecules that simultaneously inhibit PARP1 and BRD4 for breast cancer?,False,,5,5,23
42122640,28505132,Preparing thyme essential oil nanoemulsions stabilized with chitosan nanoparticles using ultrasonication or high-pressure homogenization for use as antimicrobial edible food coatings.,False,,5,5,26
42354146,29588664,Using computational saturation mutagenesis to engineer an Aspergillus niger LPMO with improved lignocellulose-degrading activity and thermostability for wheat straw saccharification.,False,,1,1,36
41832540,30857558,"Autoradiography study comparing [18F]MK-6240 tau PET tracer binding in postmortem brain slices from Down syndrome-Alzheimer's, sporadic AD, and normal controls to assess specificity and off-target binding.",False,,2,1,32
41480738,22741550,How do I create and quantify covalently tethered protein concentration gradients within a PEG hydrogel scaffold using sequential photopolymerization and fluorescence imaging?,True,rank 1 X'=32802013 shared=doi:10.1002/adma.200901808;doi:10.1002/anie.200903924;doi:10.1016/j.biomaterials.2009.08.055;doi:10.1016/j.biomaterials.2011.08.073,5,4,49
42525447,21156052,Comparing Oxford Nanopore MinION portable long-read sequencing against Illumina short-read whole-genome sequencing for genotyping Plasmodium falciparum field isolates including low-density clinical samples.,False,,2,1,28
42355009,31164569,"How do I optimize bacteriophage isolation and screening methods from cattle rumen, fecal, and mucosal samples to target bovine pathogens?",False,,3,2,3
40611305,27781173,Preparing chitosan/PVA hydrogel films loaded with plant-synthesized silver nanoparticles and testing their antimicrobial activity and wound healing properties.,False,,5,5,37
40801605,27330291,Treating mouse EAE model of multiple sclerosis with intranasally delivered extracellular vesicles from adipose mesenchymal stem cells to assess immunomodulatory and neuroprotective effects.,False,,5,5,0
41988080,21247157,Using NMR to measure residue-specific folding and unfolding rate constants in spectrin SH3 domain to test whether linear free energy relationships hold across two-state folding equilibrium.,False,,3,1,16
42230816,35848328,How does phosphorylation of the PetD N-terminus regulate STT7 kinase activity and state transitions in Chlamydomonas chloroplast mutants?,False,,1,1,33
42188002,30479912,Using mass spectrometry imaging to map spatial metabolite distributions in colorectal cancer tissues and liver metastases to identify lipid and amino acid biomarkers of metastatic progression.,True,rank 2 X'=41228317 shared=doi:10.1126/science.1104404;doi:10.1126/scitranslmed.aan3968,4,4,47
41073421,24586930,How does high-fat diet-induced obesity worsen colitis severity through colonic renin-angiotensin system activation in a mouse model?,False,,3,3,30
40025157,22546835,Metabolomics and lipidomics of cerebrospinal fluid from ME/CFS patients before and after exercise using targeted mass spectrometry to identify disrupted serine and one-carbon metabolic pathways.,True,rank 1 X'=39941050 shared=doi:10.1186/gm337,3,1,14
41353174,32242073,Predict electrospray ionization efficiency from MS2 neutral loss patterns or molecular fingerprints to quantify unknown compounds in LC-HRMS non-targeted analysis without reference standards.,True,rank 2 X'=42043149 shared=doi:10.1007/s00216-015-8681-7;doi:10.1093/nar/gku436,4,4,41
39375837,17708760,"How do nicotinic acid, tryptophan, and thiamine availability affect NAD/NADH redox balance and fermentation metabolite profiles in non-Saccharomyces wine yeasts?",False,,1,1,34
41428870,26001057,"How does aducanumab binding affect the structure and flexibility of Aβ1-42 fibrils, particularly the N-terminal region, using solid-state MAS NMR?",True,rank 2 X'=33543942 shared=doi:10.1016/j.cell.2013.08.035;doi:10.1021/ar300282r;doi:10.1021/bi051952q;doi:10.1038/34910,3,2,112
42344331,35215574,Chitosan nanocapsules co-loaded with tea tree oil and thymol for pH-responsive delivery and antibacterial testing against mastitis-causing bacteria like Staphylococcus aureus and E. coli.,False,,1,1,71
38381741,30034689,How does Tet-mediated 5-hydroxymethylcytosine modification on mRNA regulate axon guidance gene expression in Drosophila nervous system development?,True,rank 1 X'=38655199 shared=doi:10.1021/ja505305z;doi:10.1126/science.1170116;doi:10.1126/science.aac5253,5,5,32
42236516,29229823,Use carbon and nitrogen stable isotopes to compare diet and social status differences among Iron Age skeletal remains from a northern Italian necropolis.,False,,4,4,10
41290951,36638652,"How do acetylation, carboxymethylation, and phosphorylation modifications affect the structure and antioxidant activity of black pepper polysaccharides?",False,,2,2,46
42450142,28224799,How does adding chlorine to phenethyl isothiocyanate affect cytotoxicity and apoptosis in multidrug-resistant leukemia cells overexpressing P-glycoprotein?,False,,3,1,29
39598014,24454792,How does IPAF classification affect outcomes and disease course in patients with cryptogenic organizing pneumonia compared to non-IPAF COP cases?,False,,1,1,28
42115173,29308174,Find hydrogen atom positions in ligand-protected metal nanoclusters using machine learning potentials combined with global structure search methods.,False,,5,5,52
40842600,16911776,How do genomic instability scores and CCNE1 amplification stratify high-grade serous ovarian cancer patients using comprehensive genomic profiling with NGS and FISH validation?,False,,4,1,82
40563481,25938715,How does Mg2+ and SAM binding drive conformational changes in the SAM-VI riboswitch using single-molecule FRET to understand translational regulation?,True,rank 1 X'=29297679 shared=doi:10.1002/cbic.200700057;doi:10.1016/j.chembiol.2004.11.018;doi:10.1021/bi101948k;doi:10.1038/nature14352,5,2,45
38534032,28764324,Screen disinfectant quaternary ammonium compounds and their liver-generated phase I metabolites in human fecal samples using LC-ion mobility-tandem mass spectrometry with a CCS/retention time database.,False,,1,1,40
39878587,28507680,Synthesizing and evaluating albumin-targeted platinum(IV) prodrugs based on picoplatin for tumor accumulation and anticancer activity using maleimide conjugation and in vivo mouse tumor models.,True,rank 1 X'=42514874 shared=doi:10.1016/j.jinorgbio.2012.06.013;doi:10.1039/c6dt01414c,1,1,47
